id,answer,question,desc,ref
199a04dd-5813-4aee-8e43-29d040951b26,"AAA Server (Authentication, Authorization, Accounting - Xác thực, Phân quyền, Ghi nhật ký)",Thiết bị nào quản lý việc truy cập mạng dựa trên chính sách bảo mật người dùng?,"- Máy chủ AAA xác thực danh tính người dùng, phân quyền truy cập, và ghi lại hoạt động để kiểm tra bảo mật.",
793883d2-267e-40be-b125-5ac6307a6c81,Access Point (Điểm truy cập),PoE (Power over Ethernet - Cấp điện qua mạng Ethernet) cung cấp điện cho thiết bị nào sau đây?,"- Access Point, Camera IP và điện thoại IP có thể nhận điện qua cáp Ethernet nhờ công nghệ PoE.",
e34ae441-214e-4b71-8032-b199016302b3,Access Point (Điểm truy cập),Thiết bị nào cung cấp kết nối không dây cho các thiết bị đầu cuối?,"- Access Point (Điểm truy cập) là cầu nối giữa mạng có dây và không dây, hoạt động ở tầng 2, hỗ trợ chuẩn IEEE 802.11 (chuẩn mạng Wi-Fi).",
9d3b1bb6-eb1f-4c05-82dc-74d0d182c2b7,ARP (Address Resolution Protocol - Giao thức phân giải địa chỉ),Giao thức nào của thiết bị nào chịu trách nhiệm phân giải địa chỉ IP sang MAC trong mạng LAN?,- ARP giúp thiết bị tìm ra địa chỉ MAC tương ứng với địa chỉ IP để gửi khung dữ liệu trong mạng LAN.,
75b20db2-6da3-4802-b22c-3e8c2c47f8c7,Cấu hình thiết bị trực tiếp,Cổng console (bảng điều khiển) trên thiết bị mạng dùng để làm gì?,- Cổng console cho phép kỹ sư truy cập trực tiếp vào thiết bị để cấu hình ban đầu qua kết nối serial.,
e6f81693-144f-48e3-bd7b-d31ae5e2a245,DHCP Server (Máy chủ DHCP),Thiết bị nào chịu trách nhiệm cấp phát địa chỉ IP động?,"- DHCP Server cấp phát địa chỉ IP, subnet mask và gateway tự động cho thiết bị trong mạng.",
1aa1cef9-6240-4edd-a197-32ffaf4a1539,Firewall (Tường lửa),Thiết bị nào thường được dùng để bảo vệ mạng khỏi truy cập trái phép?,"- Firewall (Tường lửa) lọc lưu lượng dựa trên chính sách an ninh, ngăn chặn truy cập trái phép giữa các vùng mạng.",
b44b2a59-0a1a-4bea-8331-ae33d228072e,Giảm broadcast traffic (lưu lượng quảng bá),Mục đích của VLAN (Virtual LAN - Mạng LAN ảo) là gì?,"- VLAN chia nhỏ mạng vật lý thành các mạng logic riêng biệt, tăng tính bảo mật và giảm broadcast.",
5e37b83b-6f2c-4597-82cf-3e8ea269af5b,Layer 2 - Data Link (Liên kết dữ liệu),Hub (Bộ chia mạng) hoạt động ở tầng nào của mô hình OSI?,"- Hub chỉ đơn thuần truyền tín hiệu điện giữa các cổng mà không xử lý dữ liệu, nên hoạt động ở tầng vật lý.",
79f11678-5925-4c6d-abfa-5c752aaef124,Layer 3 - Network (Mạng),Firewall (Tường lửa) hoạt động chủ yếu ở tầng nào của mô hình OSI?,"- Tường lửa cơ bản hoạt động ở tầng 3 và 4 để lọc gói dựa trên IP và cổng, nhưng tường lửa nâng cao có thể phân tích đến tầng 7.",
13ea39c2-5ee7-4a82-9e7c-757c2cc1f1fd,Layer 4 - Transport (Vận chuyển),Firewall (Tường lửa) hoạt động chủ yếu ở tầng nào của mô hình OSI?,"- Tường lửa cơ bản hoạt động ở tầng 3 và 4 để lọc gói dựa trên IP và cổng, nhưng tường lửa nâng cao có thể phân tích đến tầng 7.",
6aa1e93d-a5c1-464d-a4c3-a497569ea0c7,MAC Address Table (Bảng địa chỉ MAC),Switch (Bộ chuyển mạch) sử dụng bảng nào để quyết định chuyển tiếp khung dữ liệu?,- Switch dùng MAC Address Table để xác định cổng đích cho khung dựa trên địa chỉ MAC của thiết bị nhận.,
e10ca3e8-dd7d-4b92-9319-dec0155b2ed6,Network Analyzer (Phân tích mạng),"Thiết bị nào được dùng để giám sát, ghi log và phân tích lưu lượng mạng?","- Network Analyzer (ví dụ như Wireshark) giúp kỹ sư nắm rõ hoạt động mạng, phát hiện lỗi và sự cố bảo mật.",
ac295f17-059c-4ee4-8a87-16b31418e191,Nối hai mạng LAN để giảm xung đột,Bridge (Cầu nối mạng) có chức năng gì?,"- Bridge hoạt động ở tầng 2, giúp chia nhỏ mạng lớn thành các đoạn nhỏ hơn và giảm xung đột tín hiệu.",
45616602-5d4a-4e03-a702-8c8eac626798,Phân giải tên miền sang địa chỉ IP,DNS (Domain Name System - Hệ thống tên miền) dùng để làm gì?,- DNS giúp người dùng truy cập trang web bằng tên (vd: google.com) thay vì phải nhớ địa chỉ IP.,
7dac4fd4-b6b6-4070-84ed-6259220b92b1,Repeater (Bộ lặp tín hiệu),Thiết bị nào khuếch đại tín hiệu để mở rộng phạm vi truyền?,- Repeater (Bộ lặp tín hiệu) tái tạo và khuếch đại tín hiệu để chống suy hao khi truyền đi xa trong môi trường vật lý như cáp đồng hoặc cáp quang.,
5a92a36b-ee94-4a5b-8143-3d2986ee8252,Router (Bộ định tuyến),NAT (Network Address Translation - Chuyển đổi địa chỉ mạng) được thực hiện bởi thiết bị nào?,- Router dịch địa chỉ IP riêng (Private IP - Địa chỉ nội bộ) sang IP công cộng (Public IP - Địa chỉ công cộng) khi thiết bị truy cập Internet.,
ecc808cf-0d64-4c57-af14-d9d9de12ea25,Router (Bộ định tuyến),Thiết bị nào chịu trách nhiệm chuyển tiếp gói tin giữa các mạng khác nhau?,"- Router (Bộ định tuyến) hoạt động ở tầng 3 của mô hình OSI, dùng để định tuyến gói tin giữa các mạng khác nhau dựa trên địa chỉ IP (Internet Protocol - Giao thức Internet).",
f78bad72-f862-4548-a816-b1c5d336ca83,Router (Bộ định tuyến),Thiết bị nào cung cấp dịch vụ DHCP (Dynamic Host Configuration Protocol - Giao thức cấu hình động máy chủ)?,"- Router thường kiêm vai trò máy chủ DHCP, tự động cấp phát địa chỉ IP cho các thiết bị trong mạng nội bộ.",
b1716ebe-0fff-4071-9418-d95229b05ba9,Router (Bộ định tuyến),Thiết bị nào giúp phân tách broadcast domain (miền quảng bá)?,"- Router ngăn broadcast lan sang mạng khác, vì vậy mỗi interface của Router là một broadcast domain riêng.",
78de8da5-6cc4-4301-9400-a468f7bda8e0,Router (Bộ định tuyến),Thiết bị nào thường kết nối mạng LAN (Local Area Network - Mạng cục bộ) với WAN (Wide Area Network - Mạng diện rộng)?,- Router là thiết bị trung gian nối mạng nội bộ với mạng bên ngoài như Internet hoặc WAN.,
ff8101d7-8978-4597-9468-95fc8c80e20d,Router (Bộ định tuyến),Thiết bị nào thường được đặt tại ranh giới giữa mạng nội bộ và Internet?,- Router kết nối mạng nội bộ với ISP (Internet Service Provider - Nhà cung cấp dịch vụ Internet).,
