id,answer,question,desc,ref
e9ad31ad-2204-486f-915b-9bee223e2f6f,Buffer (Bộ đệm) trên cổng bị đầy,“Output Drops” (Gói bị rơi đầu ra) thường xảy ra khi?,"- Output drops xảy ra khi cổng gửi quá nhanh, bộ đệm không xử lý kịp.",
1b582e0c-4382-41ee-86ae-c58764991430,Bằng cách xoắn các cặp dây lại với nhau,Cáp UTP (Unshielded Twisted Pair - Cáp xoắn đôi không bọc) chống nhiễu bằng cách nào?,- Dây xoắn giúp triệt tiêu nhiễu cảm ứng giữa các cặp.,
07d4ee75-92a2-4600-9fb9-5e2f33639a88,Chống nhiễu điện từ tốt và truyền xa hơn,Cáp quang (Fiber Optic Cable - Cáp quang học) có ưu điểm nào nổi bật nhất so với cáp đồng?,"- Cáp quang dùng ánh sáng thay điện, nên không bị ảnh hưởng bởi nhiễu từ.",
c998449e-5e9d-47de-ab0c-20b7d4448336,CRC Error tăng cao,"Khi cấu hình tốc độ và song công (duplex) giữa hai thiết bị không khớp, điều gì có thể xảy ra?",- Duplex mismatch (không khớp song công) dẫn đến va chạm và lỗi CRC.,
1a40177d-fb63-42f2-bd46-565d20ce5463,Các thiết bị khác loại trong tầng vật lý.,Cáp thẳng (Straight-through Cable - Cáp thẳng) được sử dụng để kết nối:,- Cáp thẳng dùng để kết nối các thiết bị khác loại trong tầng vật lý.,
95d3523a-60ae-434b-bde9-e4d41f0cba70,Cáp mạng bị nhiễu hoặc đầu nối kém chất lượng,CRC Error (Cyclic Redundancy Check Error - Lỗi kiểm tra dư tuần hoàn) thường xuất hiện do nguyên nhân nào?,"- CRC Error xuất hiện khi dữ liệu đến không khớp với giá trị kiểm tra, thường do nhiễu điện hoặc cáp hỏng.",
f73e61cf-ea66-4127-be23-e26ec5bc18f3,Duplex mismatch,Hiện tượng “Giật giật” khi truyền file qua mạng có thể do lỗi nào dưới đây?,"- Khi hai thiết bị không đồng bộ song công, sẽ có nhiều gói bị retransmit gây trễ không ổn định.",
065aaa44-72b1-4bef-8c07-317085b95061,Dây cáp vượt quá chiều dài cho phép,Hiện tượng “Late Collision” thường chỉ ra vấn đề gì trên mạng Ethernet?,"- Late Collision xuất hiện khi tín hiệu va chạm xảy ra sau thời điểm giới hạn, thường do chiều dài cáp vượt 100 mét.",
7bcf8ea5-4833-4381-b795-00f8c00771c6,"Dùng cáp chất lượng cao, có lớp chống nhiễu",Hiện tượng “Giảm suy hao tín hiệu” đạt được bằng cách nào?,"- Suy hao tín hiệu giảm khi sử dụng vật liệu dẫn tốt, vỏ chống nhiễu và connector đạt chuẩn.",
7f4b01a5-4ae5-430f-953a-b030f3ed5c6c,Giao diện bị lỗi vật lý hoặc driver khởi động lại,"Nếu Router báo “interface reset”, điều gì có thể đang xảy ra?","- “Interface reset” là dấu hiệu giao diện mất tín hiệu tạm thời, có thể do lỗi cáp hoặc module.",
