id,answer,question,desc,ref
ce7055d1-850f-4fda-af2e-1fe59dd5f8d7,Cung cấp kết nối không dây cho thiết bị,AP (Access Point - Điểm truy cập) dùng để làm gì?,"- Access Point là thiết bị cầu nối giữa mạng có dây và không dây, cho phép thiết bị Wi-Fi truy cập mạng LAN.",
5143e16b-63aa-4061-a0d6-d3952363fbe0,Phân giải địa chỉ IP thành địa chỉ MAC,ARP (Address Resolution Protocol - Giao thức phân giải địa chỉ) làm nhiệm vụ gì?,- ARP giúp thiết bị tìm ra địa chỉ MAC tương ứng với IP trong cùng mạng LAN.,
399d787e-191c-408f-9e62-dfcc5b528066,Layer 2,Bridge (Cầu nối) hoạt động ở tầng nào trong mô hình OSI?,"- Bridge hoạt động ở Data Link Layer, lọc và chuyển tiếp frame dựa trên địa chỉ MAC.",
22a614a8-630f-4c97-a686-e232d06aa5d2,Twisted Pair cable (Cáp xoắn đôi),Cable (Cáp mạng) loại nào thường dùng trong LAN?,"- Cáp xoắn đôi (Cat5e, Cat6) là chuẩn phổ biến nhất trong mạng LAN có dây.",
8656038a-b03e-4c19-b05b-6b8af7e2e86c,Định tuyến IP,Các thiết bị Layer 3 Switch có thể làm gì ngoài chuyển mạch Layer 2?,- Layer 3 Switch có khả năng routing giữa các VLAN (Inter-VLAN Routing) như router.,
38be42ec-aff5-44d0-b1fa-277382e9d4ab,Cấu hình ban đầu thiết bị,Cổng Console của Router/Switch dùng để làm gì?,- Console port cho phép kết nối trực tiếp bằng cáp console để cấu hình khi thiết bị chưa có IP.,
a8b1130e-9c7c-411a-abe8-911a626216ff,Trunk Port (Cổng trunk),Cổng nào của Switch thường dùng để kết nối giữa các switch với nhau?,- Trunk Port cho phép nhiều VLAN truyền qua cùng một đường kết nối giữa các switch.,
90c55615-412a-4634-b1f9-0c430793c363,VTY Lines,Cổng nào của Switch được dùng để quản trị từ xa qua SSH hoặc Telnet?,- VTY Lines cho phép truy cập từ xa qua giao thức SSH hoặc Telnet.,
23299879-df2b-4300-87d5-1d97631b7881,Router hoặc Switch cấp cao hơn,Cổng uplink của switch thường được kết nối đến đâu?,- Uplink Port kết nối switch cấp dưới với thiết bị ở tầng mạng cao hơn.,
bc2e09a7-1f1c-4dba-ae98-0c84beb32767,Định tuyến lưu lượng ra ngoài mạng cục bộ,Default Gateway (Cổng mặc định) dùng để làm gì?,- Default Gateway giúp thiết bị gửi gói tin đến các mạng ngoài LAN.,
a52186bc-d2ed-488f-b0c1-4ccc8fd58463,Cấp phát địa chỉ IP tự động cho thiết bị,DHCP (Dynamic Host Configuration Protocol - Giao thức cấp phát cấu hình động) làm nhiệm vụ gì?,"- DHCP server tự động cấp phát IP, subnet mask, gateway, DNS cho các host.",
