id,answer,question,desc,ref
b848a307-f30f-4c9e-ac4d-8e3e444d5d18,Authentication (Xác thực),Hackthebox m293s3350 - Nguyên tắc an toàn thông tin:\n\nDưới đây chỉ thuộc tính nào?\n\n- Cốt yếu để đảm bảo chỉ những đối tượng được cấp quyền mới có thể truy cập tài nguyên.,,
cbb2f3f7-b5b9-419d-8f72-eed0982e2bea,Authentication (Xác thực),"Hackthebox m293s3350 - Nguyên tắc an toàn thông tin:\n\nDưới đây chỉ thuộc tính nào?\n\n- Xác minh danh tính của người dùng, quy trình hoặc thiết bị.",,
d128f1ac-0627-4a45-bef8-b8a84a96f92d,Authentication (Xác thực),"Hackthebox m293s3350 - Nguyên tắc an toàn thông tin:\n\nDưới đây chỉ thuộc tính nào?\n\n- Được thực hiện thông qua các biện pháp như mật khẩu, sinh trắc học và xác thực đa yếu tố (MFA).",,
7f855390-ec5f-46ed-a858-c6fb7530a534,Availability (Tính sẵn sàng),Hackthebox m293s3350 - Nguyên tắc an toàn thông tin:\n\nDưới đây chỉ thuộc tính nào?\n\n- Bảo vệ chống lại việc gián đoạn truy cập thông tin.,,
cc3de130-afc6-47ba-bb5b-7599428bbd92,Availability (Tính sẵn sàng),Hackthebox m293s3350 - Nguyên tắc an toàn thông tin:\n\nDưới đây chỉ thuộc tính nào?\n\n- Được thực hiện thông qua các biện pháp như dự phòng (redundancy) và lập kế hoạch phục hồi sau thảm họa.,,
65b11784-eab1-4e58-b084-16702eba048b,Availability (Tính sẵn sàng),Hackthebox m293s3350 - Nguyên tắc an toàn thông tin:\n\nDưới đây chỉ thuộc tính nào?\n\n- Đảm bảo rằng thông tin có thể truy cập được bởi người dùng có thẩm quyền bất cứ khi nào cần.,,
04ef7d44-c99a-4975-8571-d9621659a125,Blue Team (Đội phòng thủ),Hackthebox m293s3315 - Kiến trúc an toàn thông tin:\n\nDưới đây chỉ thuật ngữ nào?\n\n- Nhóm này chịu trách nhiệm về an ninh nội bộ của công ty và phòng thủ chống lại các cuộc tấn công mạng.,,
c0b9ba2f-e3ff-46b9-8fef-ac0ebc700b9a,Chief Information Security Officer (CISO - Giám đốc an toàn thông tin),Hackthebox m293s3315 - Kiến trúc an toàn thông tin:\n\nDưới đây chỉ vị trí nào?\n\n- Giám sát toàn bộ chương trình an toàn thông tin.,,
575c5f46-3e48-4ed3-84cd-fcf96b207235,Chief Information Security Officer (CISO - Giám đốc an toàn thông tin),Hackthebox m293s3315 - Kiến trúc an toàn thông tin:\n\nDưới đây chỉ vị trí nào?\n\n- Họ thiết lập chiến lược bảo mật tổng thể mà các chuyên gia kiểm thử xâm nhập sẽ đánh giá.,,
8eba0215-7390-4f2b-8d48-573a17e242d8,Client (Máy khách),Hackthebox m293s3315 - Kiến trúc an toàn thông tin:\n\nDưới đây chỉ thuật ngữ nào?\n\n- Đây là máy tính cá nhân (PC) hoặc laptop mà thông qua đó bạn truy cập vào các tài nguyên và dịch vụ trên Internet.,,
fe83e339-28ee-4fef-952b-96ca079891a5,Cloud (Đám mây),Hackthebox m293s3315 - Kiến trúc an toàn thông tin:\n\nDưới đây chỉ thuật ngữ nào?\n\n- Đám mây đề cập đến các trung tâm dữ liệu cung cấp các máy chủ được kết nối với nhau để các công ty và cá nhân sử dụng.,,
58740410-938e-42c5-bb5c-01988f3a649d,Compliance Specialist (Chuyên viên tuân thủ),Hackthebox m293s3315 - Kiến trúc an toàn thông tin:\n\nDưới đây chỉ vị trí nào?\n\n- Các báo cáo kiểm thử xâm nhập thường là tài liệu hỗ trợ cho các nỗ lực tuân thủ.,,
