id,answer,question,desc,ref
193b6b1f-f86a-4329-82f8-53c1550ce939,Access (Truy cập),"Đây là định nghĩa của thuật ngữ nào trong tài liệu CNSSI 4009: \n\n- Khả năng và phương tiện để liên lạc hoặc tương tác với một hệ thống, nhằm sử dụng các tài nguyên hệ thống để xử lý thông tin, tìm hiểu thông tin mà hệ thống chứa đựng, hoặc điều khiển các thành phần và chức năng của hệ thống.",,
f0a299ed-cc14-4ba7-b76e-f1d51456b84a,Access authority (Thẩm quyền truy cập),Đây là định nghĩa của thuật ngữ nào trong tài liệu CNSSI 4009: \n\n- Một thực thể chịu trách nhiệm giám sát và cấp đặc quyền truy cập cho các thực thể được ủy quyền khác.,,
c0cdc6ba-b0af-49ff-99a2-c748e4031f4f,Access control (Kiểm soát truy cập),"Đây là định nghĩa của thuật ngữ nào trong tài liệu CNSSI 4009: \n\n- Quá trình chấp nhận hoặc từ chối các yêu cầu cụ thể: {BRIGHT_CYAN}1){RESET} để thu thập và sử dụng thông tin cũng như các dịch vụ xử lý thông tin liên quan; và {BRIGHT_CYAN}2){RESET} để đi vào các cơ sở vật chất cụ thể (ví dụ: các tòa nhà chính phủ, cơ sở quân sự và các cửa khẩu biên giới).",,
5790df3e-8524-4b6e-8642-652ff8dfbd3b,Access Control List (ACL - Danh sách kiểm soát truy cập),Đây là định nghĩa của thuật ngữ nào trong tài liệu CNSSI 4009: \n\n- Một cơ chế thực hiện kiểm soát truy cập cho tài nguyên hệ thống bằng cách liệt kê các thực thể hệ thống được phép truy cập tài nguyên và nêu rõ (ngầm định hoặc tường minh) các chế độ truy cập được cấp cho mỗi thực thể.,,
5423049e-bc19-4d43-8917-65a4f4f18d21,Access Control List (ACL - Danh sách kiểm soát truy cập),Đây là định nghĩa của thuật ngữ nào trong tài liệu CNSSI 4009: \n\n- Một danh sách các quyền hạn gắn liền với một đối tượng. Danh sách này xác định rõ ai hoặc cái gì được phép truy cập đối tượng đó và những thao tác nào được phép thực hiện trên đối tượng đó.,,
e8a1c15c-db15-49ce-8bae-dfbd023d5b3b,Access control mechanism (Cơ chế kiểm soát truy cập),"Đây là định nghĩa của thuật ngữ nào trong tài liệu CNSSI 4009: \n\n- Các biện pháp bảo vệ an ninh (bao gồm các tính năng phần cứng và phần mềm, kiểm soát vật lý, quy trình vận hành, quy trình quản lý và các sự kết hợp khác nhau của những yếu tố này) được thiết kế để phát hiện và ngăn chặn truy cập trái phép, đồng thời cho phép truy cập hợp lệ vào hệ thống thông tin.",,
00217b64-c7d2-42ff-bac8-c71333264614,Access level (Mức độ truy cập),"Đây là định nghĩa của thuật ngữ nào trong tài liệu CNSSI 4009: \n\n- Một danh mục trong một phân loại an ninh nhất định, nhằm giới hạn việc xâm nhập hoặc kết nối hệ thống, chỉ dành cho những người đã được ủy quyền.",,
984370d1-9e5c-4fe0-a5dc-67e48dca79e1,Access list (Danh sách truy cập),Đây là định nghĩa của thuật ngữ nào trong tài liệu CNSSI 4009: \n\n- Bảng danh sách các cá nhân được phép vào một khu vực được kiểm soát.,,
e1913b92-4e0c-4227-a721-69cf560d037a,Access profile (Hồ sơ truy cập),Đây là định nghĩa của thuật ngữ nào trong tài liệu CNSSI 4009: \n\n- Sự liên kết của một người dùng với một danh sách các đối tượng được bảo vệ mà người dùng đó có thể truy cập.,,
11e9cd1d-6cd9-49ca-9fda-e94d83e8cad4,Access type (Loại truy cập),"Đây là định nghĩa của thuật ngữ nào trong tài liệu CNSSI 4009: \n\n- Đặc quyền để thực hiện hành động trên một đối tượng. Các ví dụ về loại truy cập bao gồm: Đọc (read), ghi (write), thực thi (execute), ghi thêm (append), sửa đổi (modify), xóa (delete) và tạo mới (create). Xem thêm: Write.",,
3ed9d45f-25af-40f1-bfa1-6d48107935d8,Accountability (Trách nhiệm giải trình),"Đây là định nghĩa của thuật ngữ nào trong tài liệu CNSSI 4009: \n\n- Nguyên tắc mà một cá nhân được tin tưởng giao phó để bảo vệ và kiểm soát thiết bị, vật liệu khóa và thông tin; cá nhân đó phải chịu trách nhiệm trước cơ quan có thẩm quyền nếu làm mất hoặc sử dụng sai mục đích các thiết bị hoặc thông tin đó.",,
dabb9ed3-f9ee-4faa-8257-271527ba1b9b,Accounting Legend Code (ALC - Mã ký hiệu kế toán),Đây là định nghĩa của thuật ngữ nào trong tài liệu CNSSI 4009: \n\n- Mã số được sử dụng để chỉ định các mức độ kiểm soát kế toán tối thiểu cần thiết cho các vật liệu COMSEC (Bảo mật truyền tin) có thể thống kê được trong Hệ thống Kiểm soát Vật liệu COMSEC.,,
b9309eb7-f8d0-4dfb-8bfd-df40bebb3825,Accounting number (Số kế toán),Đây là định nghĩa của thuật ngữ nào trong tài liệu CNSSI 4009: \n\n- Số được gán cho một vật liệu COMSEC để tạo điều kiện thuận lợi cho việc kiểm soát vật liệu đó.,,
42271d3e-48f2-4e7a-84a4-29447c1de611,Accreditation (Sự kiểm định/công nhận),"Đây là định nghĩa của thuật ngữ nào trong tài liệu CNSSI 4009: \n\n- Tuyên bố chính thức bởi Cơ quan Kiểm định được Chỉ định (DAA) hoặc Cơ quan Kiểm định Chính (PAA) rằng một hệ thống thông tin được phê duyệt để vận hành ở mức độ rủi ro có thể chấp nhận được, dựa trên việc triển khai một bộ các biện pháp bảo vệ kỹ thuật, quản lý và quy trình đã được phê duyệt.",,
