id,answer,question,desc,ref
340b7e44-fec4-4f8d-9ad2-024cb3096dd6,Adequate Security (Bảo mật đầy đủ),"Mô tả này đề cập thuật ngữ nào trong tài liệu NIST SP 800 - 30: \n\n- Mức độ bảo mật tương xứng với rủi ro và mức độ thiệt hại phát sinh từ việc mất mát, lạm dụng, truy cập trái phép hoặc sửa đổi thông tin.",,"OMB Circular A-130, Appendix III"
f926545b-4754-4461-9d98-a6fecd773975,Advanced Persistent Threat (Mối đe dọa dai dẳng nâng cao),"Mô tả này đề cập thuật ngữ nào trong tài liệu NIST SP 800 - 30: \n\n- Một kẻ tấn công với trình độ chuyên môn cao và nguồn lực đáng kể cho phép nó thông qua việc sử dụng nhiều phương thức tấn công khác nhau (ví dụ: mạng, vật lý và lừa đảo), tạo ra cơ hội để đạt được các mục tiêu của mình, thường là thiết lập và mở rộng sự hiện diện của nó trong cơ sở hạ tầng công nghệ thông tin của các tổ chức nhằm mục đích liên tục đánh cắp thông tin và/hoặc làm suy yếu hoặc cản trở các khía cạnh quan trọng của một nhiệm vụ, chương trình hoặc tổ chức, hoặc đặt mình vào vị trí có thể làm như vậy trong tương lai; hơn nữa, mối đe dọa dai dẳng tiên tiến theo đuổi các mục tiêu của nó một cách lặp đi lặp lại trong một thời gian dài, thích ứng với các nỗ lực chống lại nó của người phòng thủ, và với quyết tâm duy trì mức độ tương tác cần thiết để thực hiện các mục tiêu của nó.",,NIST SP 800-39
75bb7f32-d718-47ae-9a5d-8852153b3277,Adversary (Kẻ tấn công),"Mô tả này đề cập thuật ngữ nào trong tài liệu NIST SP 800 - 30: \n\n- Cá nhân, nhóm, tổ chức hoặc chính phủ nào tiến hành hoặc có ý định tiến hành các hoạt động gây hại.",,DHS Risk Lexicon
0fcbdbb6-c793-4134-9e99-aed8006b033e,Analysis Approach (Phương pháp phân tích),"Mô tả này đề cập thuật ngữ nào trong tài liệu NIST SP 800 - 30: \n\n- Phương pháp được sử dụng để xác định định hướng hoặc điểm xuất phát của việc đánh giá rủi ro, mức độ chi tiết trong đánh giá và cách xử lý các rủi ro do các kịch bản đe dọa tương tự gây ra.",,
2e54d7f2-10ad-4901-9de6-de9a91e1b5d0,Attack (Tấn công),"Mô tả này đề cập thuật ngữ nào trong tài liệu NIST SP 800 - 30: \n\n- Bất kỳ hành vi độc hại nào nhằm mục đích thu thập, làm gián đoạn, từ chối, làm suy giảm hoặc phá hủy các nguồn tài nguyên hệ thống thông tin hoặc chính thông tin đó.",,CNSSI No. 4009
66ec3174-527c-481d-aed8-884b548c24c4,Authentication (Xác thực),"Mô tả này đề cập thuật ngữ nào trong tài liệu NIST SP 800 - 30: \n\n- Xác minh danh tính của người dùng, quy trình hoặc thiết bị, thường là điều kiện tiên quyết để cho phép truy cập vào các tài nguyên trong hệ thống thông tin.",,FIPS 200
5b506d29-607a-4118-bade-4e2ea9d6dd90,Authenticity (Tính xác thực),"Mô tả này đề cập thuật ngữ nào trong tài liệu NIST SP 800 - 30: \n\n- Thuộc tính của sự chân thực và khả năng được xác minh và tin cậy; sự tin tưởng vào tính hợp lệ của một thông điệp, một tin nhắn hoặc người gửi tin nhắn.",,CNSSI No. 4009
37fa897e-00df-44b8-880b-1896346bab72,Authorization (Ủy quyền),"Mô tả này đề cập thuật ngữ nào trong tài liệu NIST SP 800 - 30: \n\n- Quyết định quản lý chính thức do một quan chức cấp cao của tổ chức đưa ra để cho phép vận hành hệ thống thông tin và chấp nhận rõ ràng rủi ro đối với hoạt động của tổ chức (bao gồm sứ mệnh, chức năng, hình ảnh hoặc danh tiếng), tài sản của tổ chức, cá nhân, các tổ chức khác và quốc gia dựa trên việc thực hiện một bộ các biện pháp kiểm soát an ninh đã được thống nhất.",,CNSSI No. 4009
283e229c-aca5-442d-8044-66fdf618a0e6,Authorization Boundary (Ranh giới ủy quyền),"Mô tả này đề cập thuật ngữ nào trong tài liệu NIST SP 800 - 30: \n\n- Tất cả các thành phần của hệ thống thông tin phải được cơ quan có thẩm quyền cho phép vận hành, và không bao gồm các hệ thống được cấp phép riêng biệt mà hệ thống thông tin đó kết nối đến.",,CNSSI No. 4009
38cf8ee1-3010-43d4-a278-63f54d8e4bf1,Authorizing Official (Người có thẩm quyền),"Mô tả này đề cập thuật ngữ nào trong tài liệu NIST SP 800 - 30: \n\n- Quan chức cấp cao hoặc lãnh đạo có thẩm quyền chính thức đảm nhận trách nhiệm vận hành hệ thống thông tin ở mức độ rủi ro chấp nhận được đối với hoạt động của tổ chức (bao gồm sứ mệnh, chức năng, hình ảnh hoặc danh tiếng), tài sản của tổ chức, cá nhân, các tổ chức khác và quốc gia.",,CNSSI No. 4009
