id,answer,question,desc,ref
0ddf5c0f-a9ae-4662-a018-47065d994323,{BRIGHT_GREEN}cd {BRIGHT_BLUE}/etc/ssh/{RESET},Lệnh nào di chuyển đến thư mục cấu hình dịch vụ SSH?,,
c6a944d5-1a99-4252-9b14-04052918b4e8,{BRIGHT_GREEN}ls {BRIGHT_BLUE}/etc/ssh/{RESET},Lệnh nào liệt kê tất cả tập tin trong thư mục cấu hình dịch vụ SSH?,,
4fa9792c-5c36-4699-add6-81754b7c8269,{BRIGHT_GREEN}ls{RESET},Lệnh nào liệt kê tất cả tập tin trong thư mục?,- Vì câu hỏi không đề cập đến tham số nào nên chỉ là lệnh {BRIGHT_GREEN}ls{RESET},
8aaae95d-8c9a-46b1-88df-34838ee261b9,{BRIGHT_GREEN}service --status-all{RESET},Lệnh nào dùng kiểm tra trạng thái tất cả dịch vụ trong client hoặc server?,,
e4f46969-ab16-42e3-b267-829c7dde5673,{BRIGHT_GREEN}ssh {BRIGHT_BLUE}localhost{RESET},Lệnh nào tự kiểm tra kết nối máy chủ SSH từ localhost?,,
6cf0df89-9bed-4c0a-a84b-f584f8f0b17c,{BRIGHT_GREEN}systemctl list-unit-files --type={BRIGHT_BLUE}service{RESET},Lệnh nào kiểm tra các dịch vụ có khởi động cùng hệ thống?,,
691bb3d3-9b38-4fd8-b2e7-07d6844134fa,{BRIGHT_GREEN}systemctl list-units --type={BRIGHT_BLUE}service {BRIGHT_GREEN}--state={BRIGHT_BLUE}running{RESET},Lệnh nào kiểm tra các dịch vụ đang chạy?,,
7e333de5-29ea-482f-91f2-842b5c4a8b85,{BRIGHT_GREEN}systemctl list-units --type={BRIGHT_BLUE}service{RESET},Lệnh nào liệt kê tất cả các dịch vụ?,,
c6800e2e-a615-4c09-bf6a-9fb34faa17f3,{BRIGHT_GREEN}whoami{RESET},Lệnh nào kiểm tra tên người dùng?,,
0a661364-7feb-4ca5-a05f-336a5901e062,{BRIGHT_RED}sudo {BRIGHT_GREEN}apt install {BRIGHT_BLUE}openssh-server{RESET},Lệnh nào tải xuống và cài đặt gói phần mềm dịch vụ máy chủ SSH từ trình quản lý phần mềm Debian/Ubuntu?,,
42fb8746-8499-4857-ac8d-d99fc9627558,{BRIGHT_RED}sudo {BRIGHT_GREEN}nano {BRIGHT_BLUE}/etc/ssh/ssh_config{RESET},Lệnh nào mở và chỉnh sửa tệp cấu hình dịch vụ SSH dành cho client?,,
4d333644-7e95-4c6f-bbe5-0272e520dbf5,{BRIGHT_RED}sudo {BRIGHT_GREEN}nano {BRIGHT_BLUE}/etc/ssh/sshd_config{RESET},Lệnh nào mở và chỉnh sửa tệp cấu hình dịch vụ SSH dành cho server?,,
e6e4c2b2-3ac1-4ce0-8c3b-7b2232d9abc3,{BRIGHT_RED}sudo {BRIGHT_GREEN}systemctl reload {BRIGHT_BLUE}ssh{RESET},Lệnh nào làm mới cấu hình dịch vụ SSH?,,
349682fd-437e-4925-9c0d-5dde17d371f5,{BRIGHT_RED}sudo {BRIGHT_GREEN}systemctl reload-or-restart {BRIGHT_BLUE}ssh{RESET},Lệnh nào được gộp lại cho mục đích làm mới hoặc tái khởi động dịch vụ SSH?,,
ff5bee52-08f4-4943-8973-de170ccde0a5,{BRIGHT_RED}sudo {BRIGHT_GREEN}systemctl restart {BRIGHT_BLUE}ssh{RESET},Lệnh nào tái khởi động dịch vụ SSH?,,
5bf363ba-9f52-4063-8019-f6dc31ae876d,{BRIGHT_RED}sudo {BRIGHT_GREEN}systemctl status {BRIGHT_BLUE}ssh{RESET},Lệnh nào kiểm tra trạng thái dịch vụ SSH?,,
