id,answer,question,desc,ref
70d63033-affb-4536-a80e-b0ab3d25b3ce,Enterprise > Collection > Archive Collected Data,Mitre Att&ck: Quy trình sau đây nói đến kỹ thuật nào?\n\n- Mã độc (backdoor) của APT32 sử dụng nén LZMA và mã hóa RC4 trước khi đẩy dữ liệu ra ngoài (exfiltration).,,
a68af141-d687-47fc-8869-5b192eabd14f,Enterprise > Command and Control > Application Layer Protocol: Mail Protocols,Mitre Att&ck: Quy trình sau đây nói đến kỹ thuật nào?\n\n- APT32 sử dụng email để điều khiển (C2) thông qua Office macro.,,
0117b7a2-4e73-43f4-aceb-c1e1a110af83,Enterprise > Command and Control > Application Layer Protocol: Web Protocols,Mitre Att&ck: Quy trình sau đây nói đến kỹ thuật nào?\n\n- APT32 sử dụng JavaScript giao tiếp qua HTTP/HTTPS với các tên miền do kẻ tấn công kiểm soát để tải thêm các framework. Nhóm cũng tải các tệp thực thi (payload) đã mã hóa qua HTTP.,,
b7359fe1-ea4b-4d93-8882-60bd66a10dc5,Enterprise > Discovery > Account Discovery: Local Account,Mitre Att&ck: Quy trình sau đây nói đến kỹ thuật nào?\n\n- APT32 liệt kê các quản trị viên bằng lệnh {BRIGHT_GREEN}net localgroup administrators{RESET},,
e3167689-ce9b-4204-a83c-b0c140e78a36,Enterprise > Execution > Command and Scripting Interpreter,Mitre Att&ck: Quy trình sau đây nói đến kỹ thuật nào?\n\n- APT32 sử dụng các COM scriptlet để tải các beacon Cobalt Strike.,,
12f37dcf-119a-4634-a7b5-021422f20486,Enterprise > Execution > Command and Scripting Interpreter: JavaScript,Mitre Att&ck: Quy trình sau đây nói đến kỹ thuật nào?\n\n- APT32 sử dụng JavaScript cho các cuộc tấn công tải xuống tự động (drive-by downloads) và giao tiếp C2,,
2acbc1e1-0156-4619-a11b-54ff0d8ca7e8,Enterprise > Execution > Command and Scripting Interpreter: Powershell,"Mitre Att&ck: Quy trình sau đây nói đến kỹ thuật nào?\n\n- APT32 sử dụng các công cụ dựa trên PowerShell, lệnh PowerShell một dòng (one-liners) và trình nạp shellcode để thực thi.",,
2e302992-cd2a-4ae6-b003-9781af20fce6,Enterprise > Execution > Command and Scripting Interpreter: Visual Basic,"Mitre Att&ck: Quy trình sau đây nói đến kỹ thuật nào?\n\n- APT32 sử dụng macro, COM scriptlet và các tập lệnh VBS.",,
366f726a-fdb0-4f4a-a092-fc647791a443,Enterprise > Execution > Command and Scripting Interpreter: Windows Command Shell,Mitre Att&ck: Quy trình sau đây nói đến kỹ thuật nào?\n\n- APT32 sử dụng cmd.exe để thực thi lệnh.,,
935ea4b3-fc07-49fd-a0f7-5a1ac5993017,Enterprise > Exfiltration > Exfiltration Over Alternative Protocol: Exfiltration Over Unencrypted Non-C2 Protocol,Mitre Att&ck: Quy trình sau đây nói đến kỹ thuật nào?\n\n- Mã độc của APT32 có thể xuất dữ liệu bằng cách mã hóa thông tin vào trường subdomain của các gói tin DNS.,,
e3b2f820-3f54-4588-a638-34548133fc68,Enterprise > Initial Access > Drive-by Compromise,"Mitre Att&ck: Quy trình sau đây nói đến kỹ thuật nào?\n\n- APT32 lây nhiễm nạn nhân bằng cách lừa họ truy cập vào các trang web ""watering hole"" (hố nước) đã bị xâm nhập.",,
1381d464-4588-47d3-9b8d-4234d38d840a,Enterprise > Persistence > Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,"Mitre Att&ck: Quy trình sau đây nói đến kỹ thuật nào?\n\n- APT32 thiết lập cơ chế duy trì (persistence) bằng cách sử dụng các khóa Run trong Registry để thực thi các tập lệnh PowerShell, VBS hoặc chạy trực tiếp mã độc.",,
08f4fd5b-d956-4394-83eb-f09d44f5753a,Enterprise > Persistence > Create or Modify System Process: Windows Service,Mitre Att&ck: Quy trình sau đây nói đến kỹ thuật nào?\n\n- APT32 sửa đổi các Windows Service để đảm bảo tập lệnh PowerShell được nạp vào hệ thống. Nhóm cũng tạo dịch vụ mới để duy trì sự hiện diện.,,
d4d27eb0-02b6-49e3-a89a-156a739335b5,Enterprise > Resource Development > Acquire Infrastructure: Domains,Mitre Att&ck: Quy trình sau đây nói đến kỹ thuật nào?\n\n- APT32 thiết lập và vận hành các trang web để thu thập thông tin và phân phối mã độc.,,
f995eb7f-a7de-42a3-bf2e-ebc0212a9853,Enterprise > Resource Development > Acquire Infrastructure: Web Services,"Mitre Att&ck: Quy trình sau đây nói đến kỹ thuật nào?\n\n- APT32 thiết lập Dropbox, Amazon S3 và Google Drive để lưu trữ các tệp tải về độc hại.",,
35bb4179-5aca-4c31-8ed9-bf376cea423f,Enterprise > Resource Development > Establish Accounts: Social Media Accounts,Mitre Att&ck: Quy trình sau đây nói đến kỹ thuật nào?\n\n- APT32 thiết lập các trang Facebook song song với các trang web giả mạo.,,
c416d857-c441-4f2e-8c5a-c546fa2448c4,OceanLotus,Mitre Att&ck: APT32 thường được biết đến với tên gọi là gì?,,
