id,answer,question,desc,ref
6dfe9dc6-7d7e-4d03-aaa2-55109e571b9c,Damn Small Linux,Linux - Distribution: Bản phân phối nào dựa trên nền tảng và thuộc họ Knoppix (Debian)?,,
4389c4d6-eabb-4ec5-ae8b-8e0e5d9eb820,Edubuntu,Linux - Distribution: Bản phân phối nào dựa trên nền tảng và thuộc họ Ubuntu (Debian)?,,
cc2a17fc-ed2f-427e-9445-cf96a7791f23,Feather Linux,Linux - Distribution: Bản phân phối nào dựa trên nền tảng và thuộc họ Knoppix (Debian)?,,
9a57a634-dc8f-43d3-96ff-01548e38eb3b,Gobuntu,Linux - Distribution: Bản phân phối nào dựa trên nền tảng và thuộc họ Ubuntu (Debian)?,,
c4f2648a-0880-4a6d-8b45-6e60e43cfdf4,Kali Linux,Linux - Distribution: Bản phân phối nào dựa trên nền tảng và thuộc họ Debian?,,
069a9e69-59c7-4a71-b6ea-9594dac311e4,Kali NetHunter,Linux - Distribution: Bản phân phối nào dựa trên nền tảng và thuộc họ Debian?,,
732c6518-9a53-4087-b1b1-b62d219cf6fc,Knoppix,Linux - Distribution: Bản phân phối nào dựa trên nền tảng và thuộc họ Debian?,,
9fdf9448-5f61-4daa-b74a-412a5b56118a,Kubuntu,Linux - Distribution: Bản phân phối nào dựa trên nền tảng và thuộc họ Ubuntu (Debian)?,,
fcebdc1c-a7d1-4909-a586-01af64c72836,Lubuntu,Linux - Distribution: Bản phân phối nào dựa trên nền tảng và thuộc họ Ubuntu (Debian)?,,
9580c841-8503-485d-8aa4-c1b14c21bbbe,Ubuntu,Linux - Distribution: Bản phân phối nào dựa trên nền tảng và thuộc họ Debian?,,
