id,answer,question,desc,ref
8df1646b-766f-4941-aa05-138dcb888e92,{BRIGHT_BLUE}/bin{RESET},Linux - Filesystem Hierarchy Standard: Thư mục nào chứa các tập tin lệnh thực thi cơ bản mà người dùng đều cần?,,
00c54c16-5d23-40a5-acb5-6effbb420b5b,{BRIGHT_BLUE}/boot{RESET},Linux - Filesystem Hierarchy Standard: Thư mục nào chứa các tập tin khởi động cần thiết?,,
7e75637a-a05b-4117-b2c6-849e61e98651,{BRIGHT_BLUE}/dev{RESET},Linux - Filesystem Hierarchy Standard: Thư mục nào chứa các tập tin thiết bị?,,
8d3a01c6-674f-44ed-a219-189cf011e2b8,{BRIGHT_BLUE}/etc{RESET},Linux - Filesystem Hierarchy Standard: Thư mục nào chứa các tập tin cấu hình của hệ thống?,,
27def04a-f781-423e-8157-9471cce3892c,{BRIGHT_BLUE}/home{RESET},Linux - Filesystem Hierarchy Standard: Thư mục nào chứa các tập tin cá nhân của người dùng?,,
4f98228d-0132-4c46-b53a-b43551be8a20,{BRIGHT_BLUE}/lib{RESET},Linux - Filesystem Hierarchy Standard: Thư mục nào chứa các tập tin thư viện dùng chung dành cho {BRIGHT_BLUE}/bin{RESET} và {BRIGHT_BLUE}/sbin{RESET}?,,
035e7fa8-cefb-4cc1-ae6b-045893f72215,{BRIGHT_BLUE}/lost+found{RESET},Linux - Filesystem Hierarchy Standard: Thư mục nào chứa các tập tin phục hồi sau sự cố?,,
6e15af78-7833-471a-b874-0bf2a73ce505,{BRIGHT_BLUE}/media{RESET},Linux - Filesystem Hierarchy Standard: Thư mục nào chứa các tập tin được hiểu như là điểm gắn tạm thời của các thiết bị ngoại vi?,,
da202ac6-e295-4eda-8063-316f323b92c0,{BRIGHT_BLUE}/mnt{RESET},Linux - Filesystem Hierarchy Standard: Thư mục nào chứa các tập tin được hiểu như là điểm gắn tạm thời của các thiết bị ngoại vi?,,
85deaf12-5c08-43b8-9b1c-4a93dacfdef5,{BRIGHT_BLUE}/opt{RESET},Linux - Filesystem Hierarchy Standard: Thư mục nào chứa các tập tin dành cho các gói cài đặt phần mềm từ bên thứ ba?,,
696f9151-f6b8-4910-bd73-a98e8059c1e2,{BRIGHT_BLUE}/proc{RESET},Linux - Filesystem Hierarchy Standard: Thư mục nào chứa các tập tin ảo cho việc theo dõi tiến trình?,,
cfb4941a-8239-4e37-a668-bb9271b47efc,{BRIGHT_RED}/root{RESET},Linux - Filesystem Hierarchy Standard: Thư mục nào chứa các tập tin dành riêng cho tài khoản quản trị tối cao ({BRIGHT_RED}Root{RESET})?,,
c33f8c8e-9663-4cdd-bdd1-11a13417950c,{BRIGHT_BLUE}/run{RESET},Linux - Filesystem Hierarchy Standard: Thư mục nào thay thế {BRIGHT_BLUE}/var/run{RESET} chứa các tập tin lưu trữ thông tin từ lúc khởi động?,,
f3c395f9-59e2-4842-ab65-687df8706550,{BRIGHT_BLUE}/sbin{RESET},Linux - Filesystem Hierarchy Standard: Thư mục nào chứa các tập tin lệnh thực thi quan trọng mà quản trị viên hệ thống cần?,,
26891268-0a97-44a1-94cd-803fe3503722,{BRIGHT_BLUE}/srv{RESET},Linux - Filesystem Hierarchy Standard: Thư mục nào chứa các tập tin dữ liệu của các dịch vụ do hệ thống cung cấp?,,
74047e20-9a45-415d-b3d0-ca89f8669ea3,{BRIGHT_BLUE}/sys{RESET},Linux - Filesystem Hierarchy Standard: Thư mục nào chứa các tập tin ảo cho việc xem thông tin kernel?,,
ad70c55f-f9f1-413a-9f94-eb68ba60aace,{BRIGHT_BLUE}/tmp{RESET},Linux - Filesystem Hierarchy Standard: Thư mục nào chứa các tập tin tạm thời do hệ thống hoặc ứng dụng tạo ra?,,
c51aecab-9665-45ad-afd6-abbc35efe063,{BRIGHT_BLUE}/usr/bin{RESET},Linux - Filesystem Hierarchy Standard: Thư mục nào chứa các tập tin lệnh thực thi của người dùng?,,
3c6f1a78-6834-445e-9862-274677888c52,{BRIGHT_BLUE}/usr/local{RESET},Linux - Filesystem Hierarchy Standard: Thư mục nào chứa các tập tin phần mềm được cài đặt thủ công từ mã nguồn?,,
6c4e5f89-b550-4189-969a-2afa4f9cb92f,{BRIGHT_BLUE}/usr{RESET},Linux - Filesystem Hierarchy Standard: Thư mục nào chứa các tập tin và phần mềm của người dùng?,,
7d6d1907-40d1-41f3-ab9c-ace979b543aa,{BRIGHT_BLUE}/var{RESET},Linux - Filesystem Hierarchy Standard: Thư mục nào chứa các tập tin thường xuyên thay đổi?,,
