id,answer,question,desc,ref
f2fe3305-a8b5-4262-805c-f02c1847bc50,0 - 1023,Network - Port and Protocol: Nhóm các cổng hệ thống hay đã biết nằm ở khoảng bao nhiêu?,,
a4866dbd-72e2-442b-9ef9-680f152eb711,1024 - 49151,Network - Port and Protocol: Nhóm các cổng đăng ký cho các phần mềm thứ ba nằm ở khoảng bao nhiêu?,,
cc5dd755-a48d-4588-b367-ab3b9430e776,20,Network - Port and Protocol: Dịch vụ ftp-data được xác định ở cổng chính xác là bao nhiêu?,"* File Transfer Protocol (FTP): Giao thức truyền tập tin\n- Dịch vụ này sẽ xử lý ở cấu trúc Data Plane, dành cho dữ liệu",
1259eaff-ad08-4e75-a45d-3cde2ad04403,21,Network - Port and Protocol: Dịch vụ ftp được xác định ở cổng chính xác là bao nhiêu?,"* File Transfer Protocol (FTP): Giao thức truyền tập tin\n- Dịch vụ này sẽ xử lý ở cấu trúc Control Plane, dành cho lệnh",
78182e50-401f-4d35-932f-40620b08b145,22,Network - Port and Protocol: Dịch vụ ssh được xác định ở cổng chính xác là bao nhiêu?,"* Secure Shell (SSH): Bảo mật truy cập từ xa (Vỏ bảo mật)\n- Khác với Telnet không có mã hóa, khi sử dụng SSH sẽ mã hóa cho mọi hình thức truy cập nội bộ hoặc từ xa.",
aabf7eb9-7f0e-431c-bdbf-0575241fb78d,23,Network - Port and Protocol: Dịch vụ telnet được xác định ở cổng chính xác là bao nhiêu?,- Thường dùng cho mọi hình thức truy cập nội bộ hoặc từ xa mà không cần mã hóa,
7ea26a51-65de-4495-aa1c-b10b17e85b31,24,Network - Port and Protocol: Dịch vụ hệ thống mail riêng tư được xác định ở cổng chính xác là bao nhiêu?,- Thường được sử dụng cho viêc quản lý mail riêng tư của client hoặc server.,
8080b490-d58e-4dea-a9cd-59199f47f641,25,Network - Port and Protocol: Dịch vụ smtp được xác định ở cổng chính xác là bao nhiêu?,* Simple Mail Transfer Protocol (SMTP): Giao thức truyền mail đơn giản\n- Truyền mail không cần mã hóa,
02a6c356-0e4e-4f94-9293-ad902f727f42,35,Network - Port and Protocol: Dịch vụ máy in riêng tư của máy chủ được xác định ở cổng chính xác là bao nhiêu?,- Thường được sử dụng cho máy in của server.,
8381a75b-0028-47fd-bb03-c85b5e866a9c,38,Network - Port and Protocol: Dịch vụ rap được xác định ở cổng chính xác là bao nhiêu?,"* Route Access Protocol (RAP): Giao thức truy cập định tuyến\n- Hiện tại, giao thức này hiện tại đã lỗi thời.",
e9535901-165a-4f08-b3c3-10d47ac3b18e,443,Network - Port and Protocol: Dịch vụ https được xác định ở cổng chính xác là bao nhiêu?,* Hypertext Transfer Protocol Secure (HTTPs): Giao thức truyền tải siêu văn bản có mã hóa\n- HTTPS sử dụng cổng 443 để truyền tải dữ liệu web được mã hóa qua SSL/TLS.,
27010a73-3f19-4357-a782-2f0ff3934817,49152 - 65536,Network - Port and Protocol: Nhóm các cổng động hoặc riêng tư dành cho các máy khách nhận dữ liệu phản hồi nằm ở khoảng bao nhiêu?,,
a4fc957d-acce-462a-be3b-000da7d2004d,53,Network - Port and Protocol: Dịch vụ domain được xác định ở cổng chính xác là bao nhiêu?,* Domain Name System (DNS): Hệ thống tên miền\n- Hệ thống này sẽ phân giải tên miền thành địa chỉ IP hoặc ngược lại cho các máy khách và máy chủ khi yêu cầu hoặc gửi phản hồi.,
62e86ed6-ea27-4ee2-ad43-d5820927e098,80,Network - Port and Protocol: Dịch vụ http được xác định ở cổng chính xác là bao nhiêu?,"* Hypertext Transfer Protocol (HTTP): Giao thức truyền tải siêu văn bản\n- Dùng làm web tiêu chuẩn, không mã hóa TLS/SSL",
0b583550-589d-4551-8a5d-e05cff57f070,80,Network - Port and Protocol: Dịch vụ www được xác định ở cổng chính xác là bao nhiêu?,"* World Wide Web (WWW): Mạng diện diện rộng toàn cầu\n- Dùng làm web tiêu chuẩn, không mã hóa TLS/SSL",
499e02c0-3d0e-4f24-8b93-c6e63526ac0e,80,Network - Port and Protocol: Dịch vụ www-http được xác định ở cổng chính xác là bao nhiêu?,"* World Wide Web (WWW) - Hypertext Transfer Protocol (HTTP): Mạng diện diện rộng toàn cầu và giao thức truyền tải siêu văn bản\n- Dùng làm web tiêu chuẩn, không mã hóa TLS/SSL",
5293ee35-57b8-4ab3-b818-b43bba401f87,dhcp,Network - Port and Protocol: Giao thức nào sau đây được sử dụng để tự động cấp phát địa chỉ IP cho các thiết bị trong mạng?,* Dynamic Host Configuration Protocol (DHCP): Giao thức thiết lập máy chủ tự động\n- DHCP (Dynamic Host Configuration Protocol) cho phép máy chủ tự động gán địa chỉ IP và các cấu hình liên quan cho thiết bị khách.,
641c6481-a36e-4685-a904-b678c29f7442,ntp,Network - Port and Protocol: Giao thức nào được sử dụng để đồng bộ hóa thời gian giữa các thiết bị trong mạng nhằm đảm bảo tính chính xác của nhật ký hệ thống (logs)?,* Network Time Protocol (NTP): Giao thức thời gian mạng\n- NTP được thiết kế đặc biệt để đồng bộ hóa đồng hồ của các hệ thống máy tính qua mạng lưới dữ liệu.,
524af633-a85b-4935-9406-706148f946de,ospf,Network - Port and Protocol: Giao thức định tuyến nào sau đây là một giao thức trạng thái liên kết (Link-state) và thường được dùng trong các mạng doanh nghiệp lớn?,* Open Shortest Path First (OSPF): Mở đường ngắn nhất đầu tiên\n- OSPF sử dụng thuật toán Dijkstra để tính toán đường đi ngắn nhất dựa trên trạng thái liên kết.,
719dcebc-74f7-4a26-8b18-362756ecfc5e,Sai,Network - Port and Protocol: Giao thức TCP không được tin cậy hơn giao thức UDP là đúng hay sai?,"* Transmission Control Protocol (TCP): Giao thức điều khiển truyền vận\n* User Datagram Protocol (UDP): Giao thức gói dữ liệu người dùng\n- Vì TCP đảm bảo dữ liệu đến đúng nơi, đúng thứ tự và không bị mất mát nên đáng tin cậy hơn UDP",
e4923195-fc76-4099-8956-4d388c5316fa,smtp,Network - Port and Protocol: Giao thức nào dưới đây hoạt động ở tầng ứng dụng và được dùng để truyền tải thư điện tử giữa các máy chủ mail?,* Simple Mail Transfer Protocol (SMTP): Giao thức truyền mail đơn giản\n- Simple Mail Transfer Protocol là giao thức tiêu chuẩn để gửi thư đi và truyền tải thư giữa các máy chủ email trên Internet.,
f81db20c-39cb-491d-af43-0e37eda5bafa,ssh,Network - Port and Protocol: Cổng 22 thường được dành riêng cho dịch vụ nào sau đây?,* Secure Shell (SSH): Bảo mật truy cập từ xa (Vỏ bảo mật)\n- Secure Shell sử dụng cổng 22 theo mặc định để thiết lập các kết nối điều khiển từ xa an toàn.,
13c5668d-8c2d-403f-bd83-09b495713d0c,ssh,Network - Port and Protocol: Giao thức nào cung cấp kết nối bảo mật từ xa bằng cách mã hóa toàn bộ phiên làm việc?,* Secure Shell (SSH): Bảo mật truy cập từ xa (Vỏ bảo mật)\n- SSH sử dụng mã hóa mạnh để bảo vệ các phiên đăng nhập và điều khiển máy chủ từ xa. \n- Đây là sự thay thế an toàn cho Telnet.,
303cb72a-c260-44a0-a8cf-2a61521dc4ed,"tcp, udp",Network - Port and Protocol: Dịch vụ domain dùng các giao thức đưa gói tin nào ở tầng giao vận?,,
45ea4928-89d0-45a8-b8da-e325edb4870b,"tcp, udp",Network - Port and Protocol: Dịch vụ www dùng các giao thức đưa gói tin nào ở tầng giao vận?,,
07a659dd-6be2-4d4e-8570-eba0ebcef9d0,"tcp, udp",Network - Port and Protocol: Dịch vụ www-http dùng các giao thức đưa gói tin nào ở tầng giao vận?,,
667683e0-8a87-4fda-949b-d9849100a93f,"tcp, udp, sctp",Network - Port and Protocol: Dịch vụ ftp dùng các giao thức đưa gói tin nào ở tầng giao vận?,,
e606d27e-50de-4271-bc83-6ffa5ef60b89,"tcp, udp, sctp",Network - Port and Protocol: Dịch vụ ftp-data dùng các giao thức đưa gói tin nào ở tầng giao vận?,,
125a7777-408c-41f0-b1f5-c90a3617f931,"tcp, udp, sctp",Network - Port and Protocol: Dịch vụ http dùng các giao thức đưa gói tin nào ở tầng giao vận?,,
7fbf8ee9-3624-4575-81aa-dd07f8b76697,"tcp, udp, sctp",Network - Port and Protocol: Dịch vụ ssh dùng các giao thức đưa gói tin nào ở tầng giao vận?,,
d7d0f77e-5765-40b7-90f6-5390afb24b59,udp,"Network - Port and Protocol: Trong bộ giao thức TCP/IP, giao thức nào là không hướng kết và không đảm bảo dữ liệu sẽ đến đích theo đúng thứ tự?","* User Datagram Protocol (UDP): Giao thức gói dữ liệu người dùng\n- UDP gửi các gói dữ liệu (datagrams) mà không thiết lập kết nối trước, giúp giảm độ trễ nhưng không đảm bảo độ tin cậy.",
8f316c14-a26a-4e70-b93f-b50003166115,Vì nó gửi dữ liệu đi ngay lập tức mà không cần kiểm tra xem máy nhận có sẵn sàng hay không,Network - Port and Protocol: Tại sao giao thức UDP lại có tốc độ tốt hơn giao thức TCP?,* Transmission Control Protocol (TCP): Giao thức điều khiển truyền vận\n* User Datagram Protocol (UDP): Giao thức gói dữ liệu người dùng,
4d629391-67ff-4bfe-a4d3-5f8f33ea8c23,"Vì nó đảm bảo dữ liệu đến đúng nơi, đúng thứ tự và không bị mất mát",Network - Port and Protocol: Tại sao giao thức TCP lại được tin cậy hơn giao thức UDP?,* Transmission Control Protocol (TCP): Giao thức điều khiển truyền vận\n* User Datagram Protocol (UDP): Giao thức gói dữ liệu người dùng,
b1b3492f-5433-4461-ae39-e4321a890160,Vì nếu một gói tin bị rơi mất nó sẽ bỏ qua chứ không gửi lại,Network - Port and Protocol: Tại sao giao thức UDP lại không được tin cậy như giao thức TCP?,* Transmission Control Protocol (TCP): Giao thức điều khiển truyền vận\n* User Datagram Protocol (UDP): Giao thức gói dữ liệu người dùng,
