id,answer,question,desc,ref
2d8a55a3-cbef-4932-854e-07b1730f9d40,Active Reconnaissance,Introduction to Cyber Security - Offensive Security Intro: Kỹ thuật nào sau đây thu thập thông tin bằng cách tương tác trực tiếp với mục tiêu?,* Active Reconnaissance (Active Recon): Trinh sát chủ động,
6ddcb0ec-3043-4210-b309-4d6ea56d6a52,Attack Surface,Introduction to Cyber Security - Offensive Security Intro: Tất cả các điểm có thể bị tấn công trên hệ thống được gọi là?,* Attack Surface: Tấn công/Khai thác bề nổi,
81889153-4852-442c-9324-7be21d1bde30,Automation testing,Introduction to Cyber Security - Offensive Security Intro: Kiểm thử tự động hóa được gọi là?,* Automation testing: Kiểm thử tự động hóa,
657d59b1-93d4-463f-a01e-81cfee59ff28,Black Hat,Introduction to Cyber Security - Offensive Security Intro: Đối tượng nào sau đây tấn công trái phép vì lợi ích cá nhân hoặc phá hoại?,* Black Hat: Hacker mũ đen,
be483fca-2b09-4267-8536-84a8a956a224,Blue Team,"Introduction to Cyber Security - Offensive Security Intro: Đối tượng nào sau đây hoạt động theo nhóm, phòng thủ, phát hiện và ngăn chặn các cuộc tấn công?",* Blue Team: Đội an ninh/phòng thủ,
7cd82b33-84d2-4b51-801c-8aacb4daa263,Bug Bounty,Introduction to Cyber Security - Offensive Security Intro: Chương trình thưởng cho người tìm lỗ hổng hợp lệ được gọi là?,* Bug Bounty: Chương trình săn lỗi kiếm thưởng,
76017105-7cad-450f-8bb9-97aeaebda191,Có sự cho phép và báo cáo kết quả,Introduction to Cyber Security - Offensive Security Intro: Penetration Testing khác Hacking ở điểm nào?,,
072f8794-f226-4269-a131-8375a7252590,Có thể gây gián đoạn dịch vụ và vi phạm,Introduction to Cyber Security - Offensive Security Intro: Vì sao không được scan bừa bãi?,,
8bb7a3e7-97fb-4489-8dbf-75e38f771e16,Enumeration,Introduction to Cyber Security - Offensive Security Intro: Quá trình nào thu thập thông tin chi tiết về mục tiêu?,* Enumeration: Quá trình liệt kê chi tiết,
2f1e61c1-1d21-4b55-94b0-034fd1bf14bb,Ethical Hacking,Introduction to Cyber Security - Offensive Security Intro: Hacking hợp cách với sự cho phép của chủ hệ thống được gọi là?,* Ethical Hacking: Tấn công có đạo đức,
faeb928d-d40e-4240-af72-0a2cea48e7f8,False Positive,Introduction to Cyber Security - Offensive Security Intro: Lỗ hổng được báo nhưng thực tế không tồn tại được gọi là?,* False Positive: Báo động giả,
67ccf423-6dca-4171-bd21-d08c63b1647c,Gray Hat,Introduction to Cyber Security - Offensive Security Intro: Đối tượng nào sau đây tấn công không xin phép nhưng không nhằm mục đích xấu?,* Gray Hat: Hacker mũ xám,
68c981d8-5178-4ace-808b-c0b97f7cb331,Hiểu cách dữ liệu di chuyển và hệ thống hoạt động,Introduction to Cyber Security - Offensive Security Intro: Vì sao cần học Networking trước Offensive Security??,,
52490e88-50db-47db-8fd9-5dc4fe960b33,Illegal Hacking,Introduction to Cyber Security - Offensive Security Intro: Tấn công hệ thống khi không có sự cho phép được gọi là?,* Illegal Hacking: Tấn công bất hợp pháp,
098dfb8f-6260-42f7-a2f8-de6346a44f5c,Không thay thế được tư duy và kiến thức trong an ninh mạng,Introduction to Cyber Security - Offensive Security Intro: Vì sao không nên chỉ dựa vào tool?,,
7053b166-2082-4c67-9131-7b4ee06b7b71,Lateral Movement,Introduction to Cyber Security - Offensive Security Intro: Di chuyển ngang trong mạng sau khi xâm nhập được gọi là?,* Lateral Movement: Di chuyển ngang,
f36a3576-9a95-4d75-997c-ce2b74012939,Least Privilege,Introduction to Cyber Security - Offensive Security Intro: Nguyên tắc nào sau đây cấp quyền tối thiểu cần thiết?,* Least Privilege: Phân quyền/cấp quyền tối thiểu,
ed2eed00-e008-49dc-9747-18908304de0b,Lỗ hổng nhỏ có thể dẫn tới chiếm quyền toàn hệ thống,Introduction to Cyber Security - Offensive Security Intro: Vì sao hacker thường tìm {BRIGHT_GREEN}điểm yếu nhỏ{RESET}?,,
aba88470-f724-4e5f-8d7b-3f16de35d3bd,Manual Testing,Introduction to Cyber Security - Offensive Security Intro: Kiểm thử thủ công bằng kiến thức và kinh nghiệm được gọi là?,* Manual Testing: Kiểm thử thủ công,
