id,answer,question,desc,ref
17fa210a-55e1-4851-9c66-1a1019e54172,Blue Team (Đội phòng thủ),Tryhackme - Defensive Security Intro: Đội ngũ nào sau đây tập trung vào bảo mật phòng thủ?,,
53bb7ca8-3d26-42da-984c-f60e2acdf020,Defensive Security (Bảo mật phòng thủ),Tryhackme - Defensive Security Intro: Lĩnh vực nào sau đây có nhiệm vụ cập nhật và vá lỗi hệ thống?,,
669157a4-2447-4a38-a470-564004b8f242,Defensive Security (Bảo mật phòng thủ),Tryhackme - Defensive Security Intro: Lĩnh vực nào sau đây có nhiệm vụ ngăn chặn các cuộc xâm nhập xảy ra?,,
e92ad8db-3679-4bb1-ae64-4154a3b1c64b,Defensive Security (Bảo mật phòng thủ),Tryhackme - Defensive Security Intro: Lĩnh vực nào sau đây có nhiệm vụ nâng cao nhận thức an ninh mạng cho người dùng?,,
4691408b-4ccd-459a-84a9-ba962fe8b0f4,Defensive Security (Bảo mật phòng thủ),Tryhackme - Defensive Security Intro: Lĩnh vực nào sau đây có nhiệm vụ phát hiện xâm nhập khi chúng xảy ra và phản ứng một cách thích hợp?,,
bde97e33-49c8-43a1-afd0-c1db5678ea90,Defensive Security (Bảo mật phòng thủ),Tryhackme - Defensive Security Intro: Lĩnh vực nào sau đây có nhiệm vụ thiết lập các thiết bị bảo mật ngăn chặn?,,
142c8548-17fd-4ba2-a9b8-01a609727538,Defensive Security (Bảo mật phòng thủ),Tryhackme - Defensive Security Intro: Lĩnh vực nào sau đây có nhiệm vụ thiết lập các thiết bị ghi nhật ký và giám sát?,,
64e8fa65-de19-444f-a681-82e26f7f9b49,Defensive Security (Bảo mật phòng thủ),Tryhackme - Defensive Security Intro: Lĩnh vực nào sau đây có nhiệm vụ tài liệu hóa và quản lý tài sản?,,
4d6367dc-2968-4cc9-a5c6-7746eda9f601,Offensive Security (Bảo mật tấn công),"Tryhackme - Offensive Security Intro: Lĩnh vực nào sau đây bao gồm việc xâm nhập vào các hệ thống máy tính, khai thác các lỗi phần mềm và tìm kiếm các lỗ hổng trong ứng dụng để giành quyền truy cập trái phép?",,
8adc933a-3515-4e11-9a06-0f27a58388ad,Offensive Security (Bảo mật tấn công),Tryhackme - Offensive Security Intro: Lĩnh vực nào sau đây hiểu rõ các thủ đoạn của hacker để từ đó tăng cường khả năng phòng thủ cho hệ thống của chúng ta?,,
e8e332e5-5f8c-4539-bd44-dc969c7579b4,Offensive Security (Bảo mật tấn công),Tryhackme - Offensive Security Intro: Lĩnh vực nào sau đây thể hiện rõ nhất quá trình bạn mô phỏng các hành động của một hacker để tìm kiếm lỗ hổng trong một hệ thống?,,
7c636f72-115b-467c-aa33-8b02059e79b6,Penetration Tester (Chuyên gia kiểm thử xâm nhập),Tryhackme - Offensive Security Intro: Lĩnh vực chuyên sâu nào sau đây chịu trách nhiệm kiểm tra các sản phẩm công nghệ để tìm ra các lỗ hổng bảo mật có thể bị khai thác?,,
f9dcd67d-caf7-46ae-b77e-89ba7d137d5e,Red Team (Đội tấn công),"Tryhackme - Offensive Security Intro: Đội ngũ nào sau đây đóng vai trò như một đối thủ tấn công thực sự, thực hiện tấn công vào một tổ chức và đưa ra phản hồi dưới góc nhìn của kẻ thù?",,
5015094e-9756-4cd9-a759-302f2f117b3d,Security Engineer (Kỹ sư bảo mật),"Tryhackme - Offensive Security Intro: Lĩnh vực chuyên sâu nào sau đây thiết kế, giám sát và duy trì các biện pháp kiểm soát an ninh, mạng lưới và hệ thống để giúp ngăn chặn các cuộc tấn công mạng?",,
a53b4f98-b62b-4e8e-b3b5-8b1b676897ce,Security Operation Center (SOC - Trung tâm điều hành an ninh mạng),Tryhackme - Offensive Security Intro: Đội ngũ nào sau đây thực hiện giám sát mạng lưới và các hệ thống để phát hiện các sự cố an ninh mạng độc hại?,,
