id,answer,question,desc,ref
f1737f76-2c2f-4a7f-9c2e-bdf6e240b4c2,Blue Team (Đội phòng thủ),Tryhackme - Giới thiệu về an ninh phòng thủ: Vị trí nào sau đây tập trung vào an ninh phòng thủ?,,
194034e6-51b7-4f73-9617-921c129d8aad,Digital Forensics and Incident Response (Điều tra kỹ thuật số và Ứng cứu/phó sự cố),Tryhackme - Giới thiệu về an ninh phòng thủ: DFIR là viết tắt của cụm từ gì?,,
9ebbda97-ff8b-4c74-b643-b9abda211590,Incident Response (Ứng cứu/phó sự cố),Tryhackme - Giới thiệu về an ninh phòng thủ: Vị trí nào sau đây xử lý khi hệ thống bị xâm nhập?,,
099eecd8-68db-4a2f-82ee-91e4bf8df894,Malware Analysis (Phân tích mã độc),Tryhackme - Giới thiệu về an ninh phòng thủ: Vị trí nào sau đây tìm hiểu cách thức hoạt động của virus để ngăn chặn?,,
c7cb3383-3f69-4ac8-bfea-cef9bf34043c,Monitoring (Giám sát an ninh),Tryhackme - Giới thiệu về an ninh phòng thủ: Vị trí nào sau đây theo dõi lưu lượng mạng để tìm hành vi lạ?,,
3e213c2f-f194-49f6-8980-b72fe9fcc563,Offensive Security (An ninh tấn công),Tryhackme - Giới thiệu về an ninh tấn công: Lựa chọn nào sau đây thể hiện rõ hơn quá trình mô phỏng các hành động của một hacker để tìm ra các lỗ hổng trong một hệ thống?,,
e35dc32b-c4bc-4b00-a634-87d592bbd25a,Penetration Tester (Chuyên viên kiểm thử xâm nhập),Tryhackme - Giới thiệu về an ninh tấn công: Vị trí nào sau đây chịu trách nhiệm kiểm tra các sản phẩm công nghệ để tìm ra các lỗ hổng bảo mật có thể bị khai thác?,,
0d57ba97-c314-4b0a-bc48-01c34ff34c13,Ransomware (Mã độc tống tiền),Tryhackme - Giới thiệu về an ninh phòng thủ: Loại mã độc nào yêu cầu người dùng phải trả tiền để lấy lại quyền truy cập vào các tệp tin của họ?,,
599f40bd-b467-4873-ba5d-d9b7b2f85aba,Red Team (Đội tấn công),"Tryhackme - Giới thiệu về an ninh tấn công: Vị trí nào sau đây đóng vai trò là đối thủ, tấn công vào một tổ chức và đưa ra phản hồi dưới góc nhìn của kẻ thù?",,
0ebc137f-aa2a-4497-a049-aa59c4ea6eb5,Security Engineer (Kỹ sư bảo mật),"Tryhackme - Giới thiệu về an ninh tấn công: Vị trí nào sau đây thiết kế, giám sát và duy trì các kiểm soát bảo mật, mạng lưới và hệ thống để giúp ngăn chặn các cuộc tấn công mạng?",,
ba4c56c4-754b-4365-9341-e609d3b1301d,Security Operations Center (SOC - Trung tâm điều hành an ninh mạng),Tryhackme - Giới thiệu về an ninh phòng thủ: Đội ngũ chuyên gia an ninh mạng chuyên giám sát mạng và các hệ thống để phát hiện các sự kiện độc hại được gọi là gì?,,
5b665a2e-d3b0-4526-aefa-6aa8a3ff953b,Vulnerabilities (Lỗ hổng),"Tryhackme - Giới thiệu về an ninh phòng thủ: Dưới đây là lĩnh vực nào của SOC?\n\n- Bất cứ khi nào một lỗ hổng hệ thống bị phát hiện, việc khắc phục nó bằng cách cài đặt bản cập nhật hoặc bản vá thích hợp là điều thiết yếu.",,
b6e4ab7f-59d0-4c9e-9e97-08c8f15ea94e,Vulnerabilities (Lỗ hổng),"Tryhackme - Giới thiệu về an ninh phòng thủ: Dưới đây là lĩnh vực nào của SOC?\n\n- Khi chưa có bản vá, cần thực hiện các biện pháp cần thiết để ngăn chặn kẻ tấn công khai thác lỗ hổng đó.",,
aca14cec-6d62-490a-afa7-dbc89701f4cd,Vulnerabilities (Lỗ hổng),"Tryhackme - Giới thiệu về an ninh phòng thủ: Dưới đây là lĩnh vực nào của SOC?\n\n- Mặc dù việc khắc phục lỗ hổng là rất quan trọng đối với một SOC, nhưng việc này không nhất thiết phải do họ trực tiếp thực hiện.",,
0c31638f-70d3-4c6a-bd49-94db500212a2,"Vulnerabilities (Lỗ hổng), Policy violations (Vi phạm chính sách), Unauthorized activity (Hoạt động trái phép), Network intrusions (Xâm nhập mạng)",Tryhackme - Giới thiệu về an ninh phòng thủ: SOC nên quan tâm đến những lĩnh vực chính nào?,,
4b24d0e5-e080-4baa-b0c3-8532cbbadcde,Vulnerability Management (Quản lý lỗ hổng),Tryhackme - Giới thiệu về an ninh phòng thủ: Vị trí nào sau đây cập nhật phần mềm và vá các lỗi bảo mật?,,
