id,answer,question,desc,ref
7e954123-e06a-40e6-9a57-5f1bf21b8c0b,0,"x = 2 * 0, vậy x bằng bao nhiêu?",,
961282b5-8166-448b-93aa-83ebb2f83c60,0,"x = 3 * 0, vậy x bằng bao nhiêu?",,
beeceed9-2346-495d-a89d-2f480bf3d979,0,"x = 4 * 0, vậy x bằng bao nhiêu?",,
b09ce69d-5316-46bb-9c67-18bb94af71f9,0,"x = 5 * 0, vậy x bằng bao nhiêu?",,
6f03aecf-1006-4e59-a6f7-c3baebfd963c,0,"x = 6 * 0, vậy x bằng bao nhiêu?",,
33a38b9c-c52c-4424-a487-e241408bc3c2,0,"x = 7 * 0, vậy x bằng bao nhiêu?",,
5ed4199d-2193-426c-a8a0-0b5ede1415af,0,"x = 8 * 0, vậy x bằng bao nhiêu?",,
0c73dbd5-dfe2-4e25-aa50-871a3192f89e,0,"x = 9 * 0, vậy x bằng bao nhiêu?",,
ae28103d-b1e8-43ab-8a23-ea261090048f,1.024,"x = 2 * 512, vậy x bằng bao nhiêu?",,
389768bd-9d0b-496a-9895-82077a2171b4,1.048.576,"x = 2 * 524.288, vậy x bằng bao nhiêu?",,
88281c9b-cc03-4999-be26-939a8c3396f3,1.073.741.824,"x = 2 * 536.870.912, vậy x bằng bao nhiêu?",,
6875dff3-3f8d-45b3-8552-bd75e19ad030,10,"x = 2 * 5, vậy x bằng bao nhiêu?",,
4198b4f6-dc4a-4caf-819d-48370ffab2d3,12,"x = 2 * 6, vậy x bằng bao nhiêu?",,
8be11710-f253-414a-bf94-0baf514e6c13,12,"x = 3 * 4, vậy x bằng bao nhiêu?",,
e8893260-fb77-4bcb-bed8-4ad34e2f9845,128,"x = 2 * 64, vậy x bằng bao nhiêu?",,
8cb0ec5f-92c0-4580-bc6a-1aeef935ba10,131.072,"x = 2 * 65.536, vậy x bằng bao nhiêu?",,
f48a6920-4f99-42b3-9984-8a1bc751885e,134.217.728,"x = 2 * 67.108.864, vậy x bằng bao nhiêu?",,
87fc5d37-586e-42b9-97e5-b9b3420bcf8c,14,"x = 2 * 7, vậy x bằng bao nhiêu?",,
9bc36e94-e509-4b2d-a94e-e3d50cb578a5,15,"x = 3 * 5, vậy x bằng bao nhiêu?",,
4a953084-a09e-40a3-b5c4-3d018db992ae,16,"x = 2 * 8, vậy x bằng bao nhiêu?",,
791d876e-10a8-431c-a72b-0a940f16e025,16.384,"x = 2 * 8.192, vậy x bằng bao nhiêu?",,
73e8a058-73c4-488a-ba4c-e678fdab2ff1,16.777.216,"x = 2 * 8.388.608, vậy x bằng bao nhiêu?",,
3b7e1470-793a-48ee-8522-a6f00bd293a2,18,"x = 2 * 9, vậy x bằng bao nhiêu?",,
0e687cc7-b13e-4faa-8fc2-f4c11fe4fea4,18,"x = 3 * 6, vậy x bằng bao nhiêu?",,
