id,answer,question,desc,ref
33b38608-47dd-4182-9644-71f6360a6c46,-D,Bạn là một chuyên gia kiểm thử xâm nhập và sắp thực hiện quét trên một máy chủ cụ thể. Thỏa thuận bạn đã ký với khách hàng chứa điều kiện cụ thể sau cho việc quét. Kẻ tấn công phải quét mọi cổng trên máy chủ nhiều lần bằng cách sử dụng một tập hợp các địa chỉ IP nguồn giả mạo (spoofed). Giả sử bạn đang sử dụng Nmap để thực hiện quá trình quét này. Bạn sẽ sử dụng tùy chọn nào để đáp ứng yêu cầu này?,"- Cờ -D trong Nmap được sử dụng để giả mạo địa chỉ IP (decoy). Nó cho phép quá trình quét xuất hiện như thể nó đến từ nhiều địa chỉ IP giả mạo, giúp che giấu nguồn gốc thực sự của quá trình quét. Điều này phù hợp với yêu cầu quét bằng cách sử dụng một tập hợp các IP nguồn giả mạo.",
541cd028-e41a-4e97-b857-f5ed14ccd7c6,-sA,"Khi thực hiện quét NMAP chống lại máy chủ, Hola xác định sự tồn tại của tường lửa. Trong nỗ lực xác định xem tường lửa là stateful (có trạng thái) hay stateless (không trạng thái), tùy chọn nào sau đây là tốt nhất để sử dụng?","- Tùy chọn -sA thực hiện một ACK scan, được sử dụng đặc biệt để xác định xem tường lửa là stateful hay stateless. Bằng cách gửi các gói TCP chỉ với cờ ACK được bật, NMAP có thể quan sát cách tường lửa phản hồi và suy ra hành vi của nó.",
4e9921c8-3ae9-454e-bd0c-24ed6a726b5d,.bash_history,"Bằng cách thực hiện kiểm thử xâm nhập, bạn đã giành được quyền truy cập dưới một tài khoản người dùng. Trong quá trình kiểm tra, bạn đã thiết lập kết nối với máy của mình qua dịch vụ SMB và đôi khi đã nhập thông tin đăng nhập và mật khẩu bằng văn bản thuần túy. Bạn phải xóa tệp nào để xóa mật khẩu đó?","- File .bash_history lưu trữ lịch sử lệnh của shell bash, bao gồm bất kỳ lệnh nào do người dùng nhập, chẳng hạn như những lệnh chứa tên người dùng và mật khẩu bằng văn bản thuần túy. Để ngăn chặn việc khôi phục thông tin nhạy cảm, file này nên được xóa hoặc làm sạch",
f529c778-f85e-4d0c-963e-fc872d2cbf22,03,"Alan, một chuyên gia kiểm thử xâm nhập, đã được Expert Tech Solutions thuê để thực hiện mô phỏng tấn công vào tài nguyên mạng của tổ chức. Để thực hiện cuộc tấn công, anh ấy đã tận dụng API NetBIOS và nhắm mục tiêu vào dịch vụ NetBIOS. Bằng cách liệt kê NetBIOS, anh ấy phát hiện ra rằng cổng 139 đang mở và có thể thấy các tài nguyên có thể được truy cập hoặc xem trên một hệ thống từ xa. Anh ấy đã bắt gặp nhiều mã NetBIOS trong quá trình liệt kê. Xác định mã nào trong NetBIOS được sử dụng để lấy dịch vụ nhắn tin đang chạy cho người dùng đã đăng nhập?",- Hậu tố NetBIOS 03 được sử dụng để xác định dịch vụ nhắn tin cho người dùng đã đăng nhập. Nó cho phép gửi tin nhắn đến người dùng thông qua lệnh net send hoặc các cơ chế tương tự.,
386b9864-817d-4a49-a55c-4674c5ea4200,4.0 đến 6.9,"Trong xếp hạng mức độ nghiêm trọng của CVSS Phiên bản 3.1, mức độ lỗ hổng Trung bình (Medium) nằm trong phạm vi nào?","- Trong CVSS Phiên bản 3.1, các lỗ hổng được xếp hạng là Trung bình khi điểm cơ sở của chúng nằm trong khoảng 4.0 đến 6.9 (bao gồm). Phạm vi này chỉ ra mức độ nghiêm trọng vừa phải mà vẫn cần được giải quyết nhưng không nghiêm trọng như xếp hạng Cao hoặc Nghiêm trọng.",
f30bd17c-27eb-4180-92c0-d1e92f86ac8c,48101,Cổng nào cần chặn đầu tiên trong trường hợp bạn nghi ngờ một thiết bị IoT đã bị xâm phạm?,"- Cổng 48101 thường được nhiều thiết bị IoT sử dụng cho truy cập từ xa và giao tiếp với các máy chủ bên ngoài. Nếu một thiết bị IoT bị nghi ngờ bị xâm phạm, đây là một cổng có số lượng lớn không chuẩn nên được chặn đầu tiên để ngăn nó giao tiếp với các máy chủ C2 (Điều khiển và Chỉ huy) độc hại",
fcd5eaa9-28a3-4d6f-af02-87cf1e21eaf5,[related:],Toán tử tìm kiếm nâng cao nào sau đây của Google giúp kẻ tấn công thu thập thông tin về các trang web tương tự với một URL mục tiêu đã chỉ định?,- [related:] sẽ hiển thị các trang web tương tự với URL mục tiêu đã chỉ định. Kẻ tấn công sử dụng nó để tìm các miền liên quan có thể có các lỗ hổng hoặc cơ sở hạ tầng tương tự.,
2870e34e-d5e6-4443-a769-7dc7addc1771,ACK flag probe scan,Andrew là một hacker có đạo đức được giao nhiệm vụ phát hiện tất cả các thiết bị đang hoạt động bị ẩn bởi một tường lửa hạn chế trong phạm vi IPv4 trong một mạng mục tiêu cho trước. Anh ấy phải sử dụng kỹ thuật nào để phát hiện máy chủ để thực hiện nhiệm vụ được giao?,"- Quét thăm dò cờ ACK được sử dụng để vượt qua các tường lửa hạn chế chặn các gói SYN đến. Bằng cách gửi các gói TCP chỉ với cờ ACK được đặt, kẻ tấn công có thể xác định xem các máy chủ có hoạt động hay không dựa trên cách mục tiêu phản hồi, ngay cả khi các lần quét truyền thống bị chặn.",
b6c329e4-3921-4add-a20c-3daf45a289dd,Advanced persistent threat,"John, một hacker chuyên nghiệp, thực hiện một cuộc tấn công mạng vào một tổ chức nổi tiếng và giành được quyền truy cập trái phép vào mạng mục tiêu. Anh ta vẫn ở trong mạng mà không bị phát hiện trong thời gian dài và thu thập thông tin nhạy cảm mà không phá hoại tổ chức. Kỹ thuật tấn công nào sau đây được John sử dụng?","- APT (Advanced Persistent Threat) là một cuộc tấn công mạng kéo dài và có mục tiêu, trong đó kẻ xâm nhập giành quyền truy cập trái phép vào mạng và duy trì trạng thái không bị phát hiện trong một thời gian dài. Kẻ tấn công, giống như John trong kịch bản, lén lút thu thập thông tin nhạy cảm mà không gây ra thiệt hại ngay lập tức hoặc báo động, đây là đặc điểm của APT.",
2452a24f-72e9-4599-9134-a95a972a53d3,Agent Smith attack,"Don, một sinh viên, bắt gặp một ứng dụng trò chơi trong một cửa hàng ứng dụng của bên thứ ba và đã cài đặt nó. Sau đó, tất cả các ứng dụng hợp pháp trong điện thoại thông minh của anh ấy đều bị thay thế bằng các ứng dụng lừa đảo trông có vẻ hợp pháp. Anh ấy cũng nhận được nhiều quảng cáo trên điện thoại thông minh của mình sau khi cài đặt ứng dụng. Cuộc tấn công nào được thực hiện trên Don trong kịch bản trên?",- Tấn công Agent Smith liên quan đến một ứng dụng độc hại thay thế các ứng dụng hợp pháp bằng các phiên bản độc hại mà người dùng không hề hay biết trong khi vẫn giữ nguyên giao diện ban đầu. Nó cũng thường xuyên nhồi nhét quảng cáo cho người dùng và có thể đánh cắp dữ liệu hoặc theo dõi hoạt động.,
