id,answer,question,desc,ref
8c57ffb2-a917-4572-a6e1-ed8e64ea2118,-sA,"Khi thực hiện quét Nmap đối với một host, Paola xác định được sự tồn tại của một tường lửa. Trong nỗ lực xác định xem tường lửa đó là stateful (có trạng thái) hay stateless (phi trạng thái), tùy chọn nào sau đây là tốt nhất để sử dụng?","* Tham số -sA (ACK Scan) là kỹ thuật tốt nhất để xác định bản chất của tường lửa (stateful hay stateless) vì nó được thiết kế để chỉ gửi gói tin ACK và dựa vào phản hồi của tường lửa: \n\t- Nguyên tắc hoạt động: \n\t\t+ Quét ACK không được dùng để xác định cổng mở hay đóng, vì nó không hoàn tất hoặc bắt đầu bất kỳ kết nối nào. \n\t\t+ Nó gửi một gói tin TCP với cờ ACK được bật. \n\t- Phân biệt Stateful và Stateless Firewall: \n\t\t+ Stateless (Phi trạng thái): Chỉ xem xét tiêu đề gói tin. Gói tin đến đích (dù là cổng mở hay đóng) sẽ trả về gói RST (Reset) - Cổng được lọc (filtered) nếu không có phản hồi; Cổng không được lọc (unfiltered) nếu nhận được RST. \n\t\t+ Stateful (Có trạng thái): Tường lửa duy trì bảng trạng thái. Nó thấy gói ACK không hợp lệ (vì không có phiên TCP nào được khởi tạo trước đó). Nó ngăn gói tin đi tiếp - Nmap nhận được không có phản hồi (hoặc nhận được phản hồi ICMP admin prohibited) \n\t\t+ Nếu Nmap nhận được nhiều phản hồi RST từ các cổng đích, điều đó cho thấy tường lửa chỉ là stateless (vì nó đang cho phép gói ACK đi qua và máy chủ đích tự gửi RST) \n\t\t+ Nếu hầu hết các cổng đều hiển thị là filtered (không phản hồi), điều đó cho thấy một tường lửa stateful đang chặn các gói tin không có trạng thái hợp lệ",
bf17f708-4689-408d-9aa8-573a6b1f8b22,[related:],Toán tử tìm kiếm nâng cao nào sau đây của Google giúp kẻ tấn công thu thập thông tin về các trang web tương tự với một URL mục tiêu đã được chỉ định?,"* Toán tử tìm kiếm nâng cao related: (hoặc đôi khi được gọi là link: trong các công cụ cũ) được thiết kế để tìm kiếm các trang web mà thuật toán của Google coi là tương tự (similar) hoặc có liên quan về nội dung với URL được chỉ định. \n\t- Cú pháp: related:tên_miền_mục_tiêu (Ví dụ: related:sunglassitsolutions.com) \n\t- Mục đích trong tấn công (OSINT): Trong giai đoạn thu thập thông tin (footprinting) hoặc OSINT (Open-Source Intelligence), kẻ tấn công có thể sử dụng toán tử này để: \n\t\t+ Tìm các trang web hoặc diễn đàn của đối thủ cạnh tranh của tổ chức mục tiêu. \n\t\t+ Tìm các trang web cũ, các miền con (sub-domain) không còn hoạt động, hoặc các dịch vụ liên kết mà tổ chức mục tiêu có thể đã từng sử dụng. \n\t\t+ Khám phá các trang web có cùng cấu trúc hoặc công nghệ, từ đó giúp kẻ tấn công tìm kiếm các lỗ hổng đã biết trên các trang tương tự.",
15d30a1c-36c0-49ba-a727-250cb739a59a,Advanced persistent threat,"John, một hacker chuyên nghiệp, thực hiện một cuộc tấn công mạng vào một tổ chức nổi tiếng và giành được quyền truy cập trái phép vào mạng lưới mục tiêu. Anh ta ở lại mạng lưới mà không bị phát hiện trong một thời gian dài và thu thập thông tin nhạy cảm mà không phá hoại tổ chức. Kỹ thuật tấn công nào sau đây đã được John sử dụng?","* Thuật ngữ Advanced Persistent Threat (APT) là tên gọi chuẩn trong ngành bảo mật thông tin để chỉ một chiến dịch tấn công mạng có các đặc điểm chính sau, tất cả đều khớp với hành động của John: \n\t- Advanced (Nâng cao/Tinh vi): John là một hacker chuyên nghiệp, ám chỉ việc anh ta sử dụng các kỹ thuật phức tạp để vượt qua hàng rào bảo mật ban đầu và duy trì quyền truy cập. \n\t- Persistent (Dai dẳng/Lâu dài): Đặc điểm quan trọng nhất là John ""remains in the network without being detected for a long time"" (ở lại mạng lưới mà không bị phát hiện trong một thời gian dài). APT tập trung vào việc duy trì sự hiện diện bí mật và lâu dài. \n\t- Threat (Mối đe dọa): John giành được quyền truy cập trái phép. \n\n* Mục tiêu chính của APT: Khai thác và thu thập thông tin nhạy cảm. Việc John ""obtains sensitive information without sabotaging the organization"" (thu thập thông tin nhạy cảm mà không phá hoại tổ chức) cho thấy mục đích của cuộc tấn công là gián điệp mạng (cyber espionage), vốn là mục tiêu hàng đầu của các nhóm APT.",
fb588626-18e9-462e-840d-f33dad987a94,Bluto,"Gerard, một cựu nhân viên bất mãn của Sunglass IT Solutions, nhắm mục tiêu vào tổ chức này để thực hiện các cuộc tấn công tinh vi và làm giảm uy tín của công ty trên thị trường. Để bắt đầu quá trình tấn công, anh ta đã thực hiện DNS footprinting (thu thập thông tin DNS) để thu thập thông tin về máy chủ DNS và xác định các host được kết nối trong mạng mục tiêu. Anh ta đã sử dụng một công cụ tự động có thể truy xuất dữ liệu vùng DNS bao gồm tên miền DNS, tên máy tính, địa chỉ IP, bản ghi DNS và bản ghi Whois mạng. Anh ta tiếp tục khai thác thông tin này để tiến hành các cuộc tấn công tinh vi khác. Công cụ nào đã được Gerard sử dụng trong kịch bản trên?","* Bluto là một công cụ mã nguồn mở được thiết kế chuyên biệt để thực hiện DNS Footprinting và DNS Zone Transfer trên một mạng mục tiêu. \n\t- Chức năng cốt lõi: Bluto tự động hóa việc thu thập thông tin từ các máy chủ DNS, đặc biệt là thông qua việc thử nghiệm Zone Transfer (chuyển vùng) để lấy toàn bộ dữ liệu DNS của một miền. \n\t- Thông tin thu thập: Công cụ này được biết đến với khả năng thu thập chính xác loại thông tin được liệt kê trong câu hỏi: tên miền DNS, tên máy tính, địa chỉ IP, các loại bản ghi DNS (như A, MX, NS, SOA) và đôi khi cả dữ liệu Whois để cung cấp một cái nhìn tổng thể về mạng lưới mục tiêu. \n\t- Bối cảnh tấn công: Việc sử dụng một công cụ tự động để thu thập dữ liệu vùng DNS nhạy cảm (thông tin chi tiết về mọi thiết bị trong mạng) là bước đi điển hình trong giai đoạn trinh sát (reconnaissance) để chuẩn bị cho các cuộc tấn công tinh vi hơn.",
83f85eb9-c2dc-43d4-b162-7e42e1ea582f,Buffer overflow,John đang điều tra các bản ghi nhật ký của tường lửa ứng dụng web và quan sát thấy ai đó đang cố gắng chèn đoạn mã sau:\n\n\tchar buff[10];\n\tbuff[10] = 'a';\n\nĐây là loại tấn công nào?,"* Đoạn mã được cố gắng chèn vào là một ví dụ điển hình mô phỏng lỗi Tràn bộ đệm (Buffer Overflow) trong ngôn ngữ lập trình C (hoặc các ngôn ngữ cấp thấp khác): \n\t- Khai báo bộ đệm: Dòng char buff[10]; cấp phát một vùng nhớ trên stack cho một mảng ký tự tên là buff có kích thước là 10 byte. Các chỉ số hợp lệ để truy cập mảng này là từ 0 đến 9. \n\t- Truy cập không hợp lệ: Dòng buff[10] = 'a'; cố gắng ghi dữ liệu (ký tự 'a') vào vị trí có chỉ số là 10. \n\t- Tràn bộ đệm: Vì chỉ số 10 nằm ngoài giới hạn được cấp phát hợp pháp (0-9), hành động này đã ghi đè dữ liệu vào vùng bộ nhớ liền kề ngay sau bộ đệm buff. Đây chính là định nghĩa của lỗi Tràn bộ đệm. \n\n* Trong một cuộc tấn công thực tế, kẻ tấn công không chỉ ghi đè bằng ký tự 'a' mà sẽ ghi đè bằng một chuỗi dữ liệu độc hại (payload) với mục tiêu chính là ghi đè lên địa chỉ trả về (return address) của hàm đang chạy. Điều này cho phép kẻ tấn công chuyển hướng luồng điều khiển của chương trình sang thực thi mã độc do họ cung cấp (thường là để giành quyền điều khiển hệ thống).",
44fbf18e-a625-404c-abc9-c337e8cfe8fd,Evil-twin attack,Một kẻ tấn công sử dụng thiết bị Wi-Fi Pineapple để tạo ra một điểm truy cập (access point) với SSID trông hợp pháp của một doanh nghiệp gần đó nhằm mục đích thu thập mật khẩu Wi-Fi. Đây là loại tấn công nào?,"Evil-twin là một kỹ thuật tấn công mạng không dây trong đó kẻ tấn công thiết lập một điểm truy cập giả mạo (rogue access point) có cùng SSID (tên mạng) và đôi khi cả cấu hình (như kênh) với một mạng Wi-Fi hợp pháp, công cộng, hoặc doanh nghiệp gần đó. \n\t- Hành động khớp với kịch bản: \n\t\t+ Sử dụng Wi-Fi Pineapple (một công cụ chuyên dụng để tạo ra các điểm truy cập giả mạo). \n\t\t+ Tạo một điểm truy cập với ""legitimate-looking SSID"" (SSID trông hợp pháp) của doanh nghiệp mục tiêu. \n\t\t+ Mục đích: ""capture the wireless password"" (thu thập mật khẩu Wi-Fi). Kẻ tấn công thường sử dụng cổng thông tin giả mạo (captive portal) trên mạng Evil-twin để yêu cầu người dùng nhập lại mật khẩu Wi-Fi ""do lỗi kết nối"". \n\t- Cơ chế thành công: Người dùng (hoặc thiết bị của họ) bị lừa kết nối với điểm truy cập giả mạo vì nó có tín hiệu mạnh hơn hoặc trông đáng tin cậy hơn mạng Wi-Fi hợp pháp. Sau khi kết nối, toàn bộ lưu lượng truy cập của nạn nhân sẽ đi qua thiết bị của kẻ tấn công, hoặc kẻ tấn công sẽ thực hiện các thao tác để lấy cắp thông tin đăng nhập.",
fba1107e-9f6f-478a-96f5-bfd306028b26,Host-based assessment,"Một nhân viên mới, Janet, được cấp một hệ thống đã qua sử dụng của nhân viên trước đó. Trước khi giao hệ thống cho Janet, nó được kiểm tra bởi Martin, quản trị viên. Martin phát hiện ra rằng có khả năng bị xâm phạm qua thư mục người dùng, registry, và các thông số hệ thống khác. Anh ta cũng xác định các lỗ hổng như bảng cấu hình gốc, quyền registry hoặc tệp không chính xác, và lỗi cấu hình phần mềm. Loại đánh giá lỗ hổng nào đã được Martin thực hiện?","* Đánh giá dựa trên máy chủ (Host-based assessment), hay còn gọi là đánh giá nội bộ (Internal assessment) hoặc đánh giá hệ thống, là quá trình kiểm tra nội dung và cấu hình của một hệ thống riêng lẻ (host) để tìm kiếm các lỗ hổng bảo mật. \n\t- Phạm vi kiểm tra: Martin đã kiểm tra các thành phần nội bộ của hệ thống, bao gồm: \n\t\t+ Thư mục người dùng (User directories) \n\t\t+ Registry (cơ sở dữ liệu cấu hình hệ thống Windows) \ntt\t+ Quyền tệp không chính xác (Incorrect file permissions) \ntt\t+ Lỗi cấu hình phần mềm (Software configuration errors) \n\t\t+ Các thông số hệ thống khác \n\n* Tất cả các mục trên đều là các thành phần nội tại của hệ thống hoạt động (operating system and applications) chứ không phải là lỗi giao tiếp mạng (Network assessment) hay lỗi cơ sở dữ liệu (Database assessment). Hành động của Martin là phân tích sâu bên trong máy tính để tìm kiếm các cấu hình sai sót.",
7c76fd86-57f1-4782-99e2-1a869046705b,Inference-based assessment,"Một tổ chức đang thực hiện đánh giá lỗ hổng bảo mật để giảm thiểu các mối đe dọa. James, một chuyên gia kiểm thử xâm nhập, đã quét tổ chức bằng cách lập danh sách kiểm kê các giao thức được tìm thấy trên các máy của tổ chức để phát hiện các cổng gắn với dịch vụ như máy chủ email, máy chủ web hoặc máy chủ cơ sở dữ liệu. Sau khi xác định các dịch vụ, anh ta chọn các lỗ hổng trên mỗi máy và bắt đầu chỉ thực hiện các bài kiểm tra có liên quan. Loại giải pháp đánh giá lỗ hổng nào đã được James sử dụng trong kịch bản trên?","* Đánh giá dựa trên suy luận (Inference-based assessment) là một kỹ thuật quét lỗ hổng bảo mật thông minh và hiệu quả cao. \n\t- Giai đoạn Suy luận (Inference): \n\t\t+ James thực hiện phát hiện dịch vụ (service detection) bằng cách ""building an inventory of the protocols found... to detect which ports are attached to services"" (lập danh sách kiểm kê các giao thức được tìm thấy... để phát hiện các cổng gắn với dịch vụ). \n\t\t+ Bước này cho phép công cụ hoặc chuyên gia kiểm thử suy luận (inference) về các dịch vụ đang chạy (ví dụ: cổng 80/TCP là Web Server, cổng 25/TCP là Email Server, cổng 3306/TCP là MySQL Database). \n\t- Giai đoạn Kiểm tra có liên quan: \n\t\t+ Sau khi suy luận ra dịch vụ, James ""started executing only the relevant tests"" (chỉ thực hiện các bài kiểm tra có liên quan). \n\t\t+ Ví dụ: Nếu phát hiện dịch vụ là máy chủ web Apache, công cụ sẽ chỉ chạy các bài kiểm tra lỗ hổng dành riêng cho Apache, thay vì lãng phí thời gian chạy hàng trăm bài kiểm tra không liên quan (như lỗ hổng của Microsoft IIS hay FTP Server). \n\n* Việc sử dụng phương pháp phát hiện dịch vụ trước để chỉ chạy các bài kiểm tra có liên quan là đặc điểm cốt lõi của giải pháp Inference-based assessment, giúp quá trình quét nhanh hơn và ít gây nhiễu hơn.",
aa51adca-7de7-4d50-8ab3-e874ddb80469,Initial intrusion,"Harry, một hacker chuyên nghiệp, nhắm mục tiêu vào cơ sở hạ tầng CNTT của một tổ chức. Sau khi chuẩn bị cho cuộc tấn công, anh ta cố gắng xâm nhập vào mạng mục tiêu bằng các kỹ thuật như gửi email spear-phishing và khai thác lỗ hổng trên các máy chủ công khai. Sử dụng các kỹ thuật này, anh ta đã triển khai thành công phần mềm độc hại trên hệ thống mục tiêu để thiết lập kết nối đi (outbound connection). Harry hiện đang thực hiện giai đoạn nào trong vòng đời của APT?","* Vòng đời của cuộc tấn công Advanced Persistent Threat (APT) là một mô hình nhiều giai đoạn, và các hành động của Harry khớp với định nghĩa của giai đoạn Khởi động xâm nhập: \n\t- Hành động của Harry: \n\t\t+ Cố gắng xâm nhập: ""he attempts to enter the target network"" (anh ta cố gắng xâm nhập vào mạng mục tiêu). \n\t\t+ Sử dụng các phương tiện xâm nhập: ""sending spear-phishing emails and exploiting vulnerabilities"" (gửi email spear-phishing và khai thác lỗ hổng). \n\t\t+ Thành công: ""successfully deployed malware on the target system"" (triển khai thành công phần mềm độc hại). \n\t- Định nghĩa giai đoạn: \n\t\t+ Initial Intrusion (Xâm nhập ban đầu): Giai đoạn này tập trung vào việc xâm nhập vào mạng lưới bằng cách khai thác một lỗ hổng (như lỗi cấu hình hoặc lỗ hổng phần mềm) hoặc sử dụng kỹ thuật xã hội (như spear-phishing) để có được chỗ đứng đầu tiên (initial foothold) trong mạng mục tiêu. \n\t\t+ Việc triển khai malware thành công để thiết lập kết nối đi (outbound connection, thường là Command and Control) là kết quả trực tiếp và mục tiêu của giai đoạn Xâm nhập ban đầu.",
80141cdb-50ed-45c1-ae53-bc1e2f937997,netcat,"Tony là một chuyên gia kiểm thử xâm nhập (penetration tester) được giao nhiệm vụ thực hiện kiểm thử xâm nhập. Sau khi giành được quyền truy cập ban đầu vào một hệ thống mục tiêu, anh ta tìm thấy một danh sách các mật khẩu đã được băm (hashed passwords). Công cụ nào sau đây không hữu ích để bẻ khóa các mật khẩu đã băm đó?","* netcat là một công cụ tiện ích mạng, thường được gọi là ""con dao quân đội Thụy Sĩ"" (Swiss Army knife) của mạng, vì nó có thể đọc và ghi dữ liệu qua các kết nối mạng TCP và UDP. \n\t- Chức năng chính: \n\t\t+ Mở các kết nối từ máy khách (client) hoặc máy chủ (server). \n\t\t+ Chuyển tiếp cổng (port forwarding). \n\t\t+ Tạo shell đảo ngược (reverse shell) hoặc shell ràng buộc (bind shell) để duy trì quyền truy cập. \n\t\t+ Quét cổng đơn giản. \n\n* Không phải là công cụ bẻ khóa băm (Hash Cracker): netcat hoàn toàn không có chức năng bẻ khóa mật khẩu đã băm (tức là không thể thực hiện các cuộc tấn công từ điển, brute-force hay cầu vồng để giải mã hàm băm).",
