id,answer,question,desc,ref
917a3530-f1e0-4081-a869-ead8103f7752,Interface cáp mạng không được kết nối với bộ chuyển mạch,"Một quản trị viên hệ thống đang khắc phục sự cố kết nối và cố gắng tìm hiểu lý do tại sao máy chủ Linux không thể truy cập các máy chủ khác trên cùng mạng con mà nó đang kết nối. Khi liệt kê các tham số liên kết, kết quả hiển thị như sau:\n\n\tip link list dev eth0\n\t2: eth0: <NO-CARRIER, BROADCAST, MULTICAST, UP> mtu 1500, qdisc fq_code1 state DOWN mode DEFAULT qlen 1000 link/ether ac:00:11:22:33:cd brd ff:ff:ff:ff:ff:ff \n\nDựa trên kết quả trên, nguyên nhân nào sau đây có khả năng nhất gây ra sự cố?",,
22efe59c-50a6-4cdd-a82d-7b6986ff40da,Lightweight Directory Access Protocol (LDAP),Công nghệ nào sau đây có thể được sử dụng làm kho lưu trữ tập trung cho người dùng và nhóm Linux?,,
72b3cd6b-917d-4865-a605-aeb28854fbec,Terraform,"Một quản trị viên hệ thống đang triển khai ba máy chủ đám mây giống hệt nhau. Quản trị viên đang sử dụng đoạn mã sau để hoàn thành nhiệm vụ:\n\n\tresource ""abc_instance"" ""ec_instance"" {\n\t\t\tami = data.abc_ami.vendor-Linux-2.id\n\t\t\tassociate_public_ip_address = true\n\t\t\tcount = 3\n\t\t\tinstance_type = ""instance_type""\n\t\t\tvpc_security_group_ids = [abc.security_group.allow_ssh.id]\n\t\t\tkey_name = abc_key_pair.key_pair.key_name\n\t\ttags = {\n\t\t\tName = ""${var.namespace} &(count.index)""\n\t\t}\n\t}\n\nQuản trị viên đang sử dụng công nghệ nào sau đây?",,
569ec0dc-9413-4eff-abe3-4961e4317857,{BRIGHT_BLUE}/etc/services{RESET},"Một kỹ sư điện toán đám mây cần thay đổi cổng đăng nhập từ xa an toàn từ 22 thành 49000. Trong số các tệp sau đây, kỹ sư đó nên sửa đổi tệp nào để thay đổi số cổng thành giá trị mong muốn?",,
af5a7703-72c6-414e-be4d-1c07a36fbbf1,{BRIGHT_GREEN}dd if{RESET}={BRIGHT_BLUE}/dev/sdc1{RESET} {BRIGHT_GREEN}of{RESET}={BRIGHT_BLUE}/dev/sdd1{RESET},Một quản trị viên hệ thống cần sao chép phân vùng {BRIGHT_BLUE}/dev/sdc1{RESET} sang {BRIGHT_BLUE}/dev/sdd1{RESET}. Lệnh nào sau đây sẽ thực hiện được nhiệm vụ này?,,
dc20af78-e07a-4db0-87aa-18d03766f4af,{BRIGHT_GREEN}git pull{RESET},Một tệp mới đã được thêm vào kho lưu trữ Git chính. Quản trị viên muốn đồng bộ hóa bản sao cục bộ với nội dung của kho lưu trữ chính. Quản trị viên nên sử dụng lệnh nào trong số các lệnh sau đây cho tác vụ này?,,
bbe3da98-a803-4b5d-9aff-1f06d440d22f,{BRIGHT_GREEN}if{RESET} [ {BRIGHT_GREEN}-f {BRIGHT_BLUE}“$filename”{RESET} ] {BRIGHT_GREEN}then{RESET},"Một người dùng đang yêu cầu quản trị viên hệ thống hỗ trợ viết một kịch bản để kiểm tra xem một tệp có tồn tại hay không. Cho dữ liệu sau: \n\n\t#1/bin/bash\n\tfilename=$1\n\t{BRIGHT_RED}<replace_string>{RESET}\n\techo ""File exists""\n\telse\n\techo ""File does not exist""\n\tfi \n\nLệnh nào sau đây nên thay thế chuỗi?",,
7f0e1a93-cae3-4109-b865-3e1cc934e4a6,{BRIGHT_GREEN}ip route add {BRIGHT_BLUE}10.0.213.5/32 {BRIGHT_GREEN}via {BRIGHT_BLUE}10.0.5.1 {BRIGHT_GREEN}dev {BRIGHT_BLUE}eth0{RESET},"Các nhà phát triển đã yêu cầu triển khai một tuyến đường tĩnh, cố định trên máy chủ ứng dụng. Các gói tin được gửi qua interface eth0 đến 10.0.213.5/32 cần được định tuyến qua 10.0.5.1. Quản trị viên nên chạy lệnh nào sau đây để đạt được mục tiêu này?",,
48b6b800-4952-4a4e-8ec6-26562c88f61f,{BRIGHT_GREEN}iptables -t nat -A{RESET} PREROUTING {BRIGHT_GREEN}-p tcp –dport {BRIGHT_BLUE}80 {BRIGHT_GREEN}-j{RESET} DNAT {BRIGHT_GREEN}–-to-destination {BRIGHT_BLUE}192.0.2.25:3128{RESET},Một quản trị viên Linux cần tạm thời chuyển hướng tất cả lưu lượng HTTP đến máy chủ proxy mới 192.0.2.25 trên cổng 3128. Lệnh nào sau đây sẽ thực hiện được nhiệm vụ này?,,
6413640d-1c68-4096-9975-867e78190ee3,{BRIGHT_GREEN}podman exec -ti app {BRIGHT_BLUE}/bin/sh{RESET},Một quản trị viên Linux cần phân tích một ứng dụng bị lỗi đang chạy bên trong một container. Lệnh nào sau đây cho phép quản trị viên Linux truy cập vào container đang chạy và phân tích nhật ký được lưu trữ bên trong?,,
d0f31446-da12-4848-9e7a-2b5116c47adc,{BRIGHT_GREEN}podman run -d -p {BRIGHT_BLUE}8443:443 {BRIGHT_GREEN}httpd{RESET},Một quản trị viên Linux được yêu cầu chạy một container chứa máy chủ httpd. Container này cần được truy cập từ cổng 443 của máy chủ Linux trong khi nội bộ nó lắng nghe trên cổng 8443. Lệnh nào sau đây sẽ thực hiện được nhiệm vụ này?,,
9977e3ae-d643-4a3c-8dcc-0fe05deb8772,{BRIGHT_GREEN}telinit {BRIGHT_BLUE}1{RESET}; {BRIGHT_GREEN}restorecon -Rv {BRIGHT_BLUE}/boot{RESET},"Một quản trị viên vô tình xóa tệp {BRIGHT_BLUE}/boot/vmlinuz{RESET} và cần khắc phục sự cố trước khi khởi động lại máy chủ. Trong số các lệnh sau, lệnh nào quản trị viên nên sử dụng để xác định phiên bản chính xác của tệp này?",,
