id,answer,question,desc,ref
e0f8ec91-198d-473f-979e-1b9c44de43f4,Đúng,Đúng/Sai: Quản trị viên sử dụng powershell có thể cấp phép bản quyền trên Microsoft 365/Exchange Online; hay sai?,* Assign licenses: Cấp phép bản quyền,
63586780-8f37-4e57-b7cb-536ff362beb8,Đúng,Đúng/Sai: Quản trị viên sử dụng powershell có thể giám sát tài nguyên trên Azure Cloud; hay sai?,,
3f8ecdf7-7aca-4066-8f23-b8b400a2ff6a,Đúng,Đúng/Sai: Quản trị viên sử dụng powershell có thể nhóm phân phối để gửi email hàng loạt trên Microsoft 365/Exchange Online; hay sai?,* Distribution Group: Nhóm phân phối - đơn giản là một danh sách gửi email hàng loạt,
9d3b9952-6f4c-4843-90b4-28660844acba,Đúng,Đúng/Sai: Quản trị viên sử dụng powershell có thể quản lý các hồ sơ cấu hình trên Intune / Endpoint Manager; hay sai?,,
c5f93099-471b-48c0-bc75-4395ed6654ac,Đúng,Đúng/Sai: Quản trị viên sử dụng powershell có thể quản lý các thiết bị Autopilot trên Intune / Endpoint Manager; hay sai?,,
27f641d6-bae0-46f1-b5f3-ab26a561d410,Đúng,Đúng/Sai: Quản trị viên sử dụng powershell có thể quản lý các tuân thủ thiết bị trên Intune / Endpoint Manager; hay sai?,* Device compliance: Tuân thủ thiết bị,
208175e1-16e6-4471-8b9f-c69fe8b7074e,Đúng,Đúng/Sai: Quản trị viên sử dụng powershell có thể quản lý dịch vụ trên Windows; hay sai?,* Service: Dịch vụ,
86b500d2-9280-4a24-9745-b8d3775c6ec3,Đúng,Đúng/Sai: Quản trị viên sử dụng powershell có thể quản lý máy tính trên Active Directory của Windows Server; hay sai?,,
6fbd8cff-0499-4d3c-bc1b-0ce332852ce0,Đúng,Đúng/Sai: Quản trị viên sử dụng powershell có thể quản lý người đùng trên Azure Cloud; hay sai?,,
217312b7-7ad9-4a60-bfa2-7d0f8a986e4b,Đúng,Đúng/Sai: Quản trị viên sử dụng powershell có thể quản lý nhật ký sự kiện trên Windows; hay sai?,* Event logs: Nhật ký sự kiện,
79065947-5f9d-481d-9d40-076ac3d7dac8,Đúng,Đúng/Sai: Quản trị viên sử dụng powershell có thể quản lý OneDrive trên Microsoft 365/Exchange Online; hay sai?,,
39493596-1073-450e-bc03-6a5a9f328049,Đúng,Đúng/Sai: Quản trị viên sử dụng powershell có thể quản lý registry trên Windows; hay sai?,,
944414c5-bf70-4622-9a2f-37bc308bee59,Đúng,Đúng/Sai: Quản trị viên sử dụng powershell có thể quản lý tiến trình trên Windows; hay sai?,* Processe: Tiến trình,
